emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
inventory control,3.0,GA,RENT,60000.0,Not Verified,11.0,,,,0,70.0,1998,0,13,9,56000,14338,0,0,70.0,0,0,2,5,,9,0.0,0,2,36400,9,7,2,1,92.3,0,0,debt_consolidation,individual,10000,36,5.32,301.15,A,A1,Jan-2018,Current,whole,Cash,8704.48,1498.36,1295.52,202.84,0.0
sr direct supoort professional,4.0,MO,MORTGAGE,48000.0,Source Verified,2.88,,,,0,,2002,2,26,9,147217,2489,0,0,,0,0,2,3,0.0,9,0.0,0,1,25000,18,6,1,2,100.0,0,0,house,individual,6000,36,6.07,182.73,A,A2,Mar-2018,Current,whole,Cash,5540.54,544.14,459.46,84.68,0.0
deputy,10.0,CA,MORTGAGE,140000.0,Not Verified,13.82,,,,0,,1993,2,21,12,631258,69647,0,0,,0,0,2,5,0.0,12,0.0,0,1,58100,13,9,3,2,100.0,0,0,debt_consolidation,individual,15000,60,9.93,318.19,B,B2,Jan-2018,Fully Paid,whole,Cash,0.0,15005.166875,15000.0,5.17,0.0
armed protection officer ,1.0,MD,OWN,70000.0,Source Verified,0.0,,,,0,31.0,2004,0,13,3,30400,92,0,0,,0,0,0,0,,3,0.0,0,0,0,11,3,1,0,92.3,0,0,small_business,individual,2400,36,6.08,73.1,A,A2,Jan-2018,Fully Paid,whole,Cash,0.0,2409.0499926707,2400.0,9.05,0.0
loan consultant ,2.0,PA,RENT,75000.0,Not Verified,18.53,,,,0,,2006,2,12,6,55075,34186,0,0,,0,0,2,3,2.0,6,0.0,0,1,19600,9,4,2,0,100.0,0,0,other,individual,9500,36,10.42,308.42,B,B3,Jan-2018,Current,whole,Cash,8350.57,1531.1,1149.43,381.67,0.0
senior recruiter,5.0,MD,RENT,90000.0,Source Verified,15.72,,,,0,,2005,8,24,10,77285,51012,0,0,,0,0,2,4,3.0,10,0.0,0,2,23900,11,8,3,3,100.0,0,0,moving,individual,15000,60,11.99,333.6,B,B5,Feb-2018,Current,whole,Cash,14254.01,1314.42,745.99,568.43,0.0
director of support services,10.0,NC,OWN,76300.0,Not Verified,10.71,,,,0,68.0,1980,4,30,12,185068,26515,0,1,68.0,0,0,2,7,0.0,12,0.0,0,2,16800,21,9,4,3,96.7,0,1,debt_consolidation,individual,15000,36,6.72,461.24,A,A3,Jan-2018,Current,whole,Cash,13092.56,2295.0,1907.44,387.56,0.0
rn,2.0,FL,MORTGAGE,190000.0,Not Verified,2.68,,,,0,,2004,0,17,9,175300,18870,0,0,,0,0,0,4,16.0,9,0.0,0,4,78300,10,8,5,1,100.0,0,0,debt_consolidation,individual,20000,36,6.71,614.9,A,A3,Mar-2018,Current,whole,Cash,18991.05,1214.89,1008.95,205.94,0.0
lead teller,2.0,NE,RENT,30000.0,Not Verified,3.64,,,,0,,2012,0,9,7,18000,5542,0,0,,0,0,0,1,,7,0.0,0,2,17000,8,7,3,0,100.0,0,0,car,individual,16000,60,9.93,339.41,B,B2,Jan-2018,Current,whole,Cash,14947.68,1688.22,1052.32,635.9,0.0
registered nurse,6.0,NC,MORTGAGE,88000.0,Source Verified,17.24,,,,0,61.0,2004,2,39,25,404236,199983,0,0,,0,0,18,5,3.0,25,0.0,0,3,32000,8,6,4,2,97.4,0,0,credit_card,individual,10000,36,10.42,324.65,B,B3,Jan-2018,Current,whole,Cash,9036.27,1292.81,963.73,329.08,0.0
hvac technician,10.0,GA,MORTGAGE,75000.0,Source Verified,22.91,145000.0,Source Verified,22.42,0,,1993,0,27,8,224758,63799,0,0,,0,0,4,1,,8,0.0,0,1,23000,8,3,1,3,100.0,0,0,debt_consolidation,joint,10000,36,6.07,304.54,A,A2,Mar-2018,Current,whole,Cash,9234.27,910.25,765.73,144.52,0.0
nurse assistant,5.0,NC,MORTGAGE,70000.0,Not Verified,21.41,,,,0,,2008,1,21,6,279995,52244,0,0,,0,0,2,4,9.0,6,0.0,0,1,14800,10,3,2,3,100.0,0,0,debt_consolidation,individual,12000,36,6.07,365.45,A,A2,Mar-2018,Current,whole,Cash,11081.12,1092.3,918.88,173.42,0.0
driver,8.0,NJ,MORTGAGE,75000.0,Verified,20.16,,,,0,,2006,4,39,23,365595,30262,0,0,,0,391,2,9,0.0,23,0.0,0,6,49600,31,20,7,1,100.0,0,0,house,individual,15000,36,7.34,465.5,A,A4,Mar-2018,Current,whole,Cash,13871.88,1390.38,1128.12,262.26,0.0
,,NV,MORTGAGE,76000.0,Not Verified,14.62,,,,0,,2009,2,15,14,368543,24135,0,0,,0,0,2,9,12.0,14,0.0,0,5,56300,11,11,5,2,100.0,0,0,debt_consolidation,individual,6000,36,6.72,184.5,A,A3,Jan-2018,Current,whole,Cash,5391.31,736.88,608.69,128.19,0.0
program manager,10.0,CO,RENT,188000.0,Not Verified,11.64,,,,0,,2005,1,26,24,80444,45181,0,0,,0,0,2,10,6.0,24,0.0,0,15,28500,22,22,20,0,100.0,0,0,debt_consolidation,individual,10000,36,5.31,301.11,A,A1,Feb-2018,Current,whole,DirectPay,8965.72,1201.49,1034.28,167.21,0.0
deputy assessor ,8.0,WV,MORTGAGE,50000.0,Verified,12.15,,,,0,80.0,2007,8,27,13,97664,21687,0,1,,0,0,1,3,10.0,13,0.0,0,4,25600,21,11,4,2,96.2,0,1,debt_consolidation,individual,25000,36,9.93,805.86,B,B2,Jan-2018,Current,fractional,Cash,21955.1,4015.51,3044.9,970.61,0.0
service tech,10.0,MD,OWN,58000.0,Source Verified,12.58,,,,0,43.0,2004,0,22,10,37300,14770,0,0,43.0,0,0,0,3,,10,0.0,0,4,17000,14,9,6,2,86.4,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,Mar-2018,Current,whole,Cash,9275.14,961.39,724.86,236.53,0.0
senior technically writer,1.0,VA,RENT,105000.0,Not Verified,16.73,,,,0,,1990,0,6,6,63600,53168,0,0,,0,0,1,0,,6,0.0,0,4,51100,5,5,4,0,100.0,0,0,debt_consolidation,individual,6000,36,9.93,193.41,B,B2,Feb-2018,Current,fractional,Cash,5417.78,768.68,582.22,186.46,0.0
escrow manager,10.0,CA,MORTGAGE,150000.0,Source Verified,7.89,,,,0,,1992,1,22,8,96633,43253,0,0,,0,0,2,6,2.0,8,0.0,0,4,54000,18,6,4,0,100.0,0,0,medical,individual,15000,36,7.97,469.84,A,A5,Feb-2018,Current,whole,Cash,13504.32,1866.08,1495.68,370.4,0.0
quality control,0.0,PA,MORTGAGE,69000.0,Not Verified,15.42,,,,0,75.0,2003,0,37,8,291176,33890,0,0,,0,0,2,3,14.0,8,0.0,0,2,57700,23,5,3,2,94.3,0,0,debt_consolidation,individual,20000,36,5.31,602.21,A,A1,Mar-2018,Current,fractional,Cash,18452.04,1800.73,1547.96,252.77,0.0
accounts receivable manager,3.0,NJ,RENT,64000.0,Source Verified,8.72,,,,0,,2010,0,5,5,49500,19719,0,0,,0,0,1,1,15.0,5,0.0,0,2,25000,4,4,2,0,100.0,0,0,debt_consolidation,individual,10000,36,6.71,307.45,A,A3,Mar-2018,Current,whole,Cash,9241.17,914.89,758.83,156.06,0.0
it support,8.0,TX,MORTGAGE,165000.0,Source Verified,11.14,,,,0,,2000,2,24,8,103527,70510,0,0,,0,0,2,5,12.0,8,0.0,0,3,43500,9,6,4,2,100.0,0,0,other,individual,25000,36,6.07,761.35,A,A2,Feb-2018,Current,whole,Cash,22441.1,3036.97,2558.9,478.07,0.0
senior accounts payable clerk,10.0,FL,MORTGAGE,43000.0,Source Verified,1.56,,,,0,,1984,3,30,15,45100,860,0,0,,0,0,0,8,0.0,15,0.0,0,3,35600,21,15,3,2,100.0,0,0,home_improvement,individual,40000,60,9.43,838.71,B,B1,Mar-2018,Current,whole,Cash,37877.63,3220.14,2122.37,1097.77,0.0
master driver,10.0,VA,MORTGAGE,90000.0,Verified,17.44,,,,0,,1999,1,32,10,524622,87687,0,0,,0,0,2,3,12.0,10,0.0,0,3,63500,14,7,3,4,100.0,0,0,debt_consolidation,individual,24000,60,10.42,514.91,B,B3,Jan-2018,Current,whole,Cash,22440.6,2505.09,1559.4,945.69,0.0
teacher,10.0,SD,OWN,95000.0,Not Verified,11.45,,,,0,,1975,2,40,10,73740,14461,0,1,,0,0,1,6,3.0,10,0.0,0,5,29600,23,9,8,0,100.0,0,1,debt_consolidation,individual,5000,36,7.96,156.59,A,A5,Mar-2018,Current,whole,Cash,4627.27,465.35,372.73,92.62,0.0
cabinet maker/installer,8.0,FL,RENT,78000.0,Source Verified,9.61,,,,0,58.0,1996,3,21,15,48354,40982,0,1,58.0,0,1358,8,3,4.0,15,0.0,0,5,11900,8,7,6,1,68.4,0,1,credit_card,individual,7000,36,7.96,219.23,A,A5,Mar-2018,Current,whole,DirectPay,6478.16,654.59,521.84,132.75,0.0
teller,5.0,IL,RENT,50000.0,Not Verified,20.74,,,,0,,2002,8,39,28,128476,16061,0,0,,0,0,1,7,1.0,28,0.0,0,9,60000,32,27,14,1,100.0,0,0,debt_consolidation,individual,20000,36,7.97,626.46,A,A5,Jan-2018,Current,whole,Cash,17499.09,3110.16,2500.91,609.25,0.0
territory manager,3.0,TX,MORTGAGE,190000.0,Not Verified,15.84,,,,0,,2000,0,15,10,619105,84019,0,0,,0,0,2,5,18.0,10,0.0,0,3,62000,9,6,5,2,100.0,0,0,debt_consolidation,individual,12000,36,6.08,365.5,A,A2,Jan-2018,Current,whole,Cash,10771.9,1474.16,1228.1,246.06,0.0
sr engineer,10.0,CO,RENT,126000.0,Source Verified,3.82,,,,0,,2003,0,9,3,49529,7020,0,0,,0,0,1,0,,3,0.0,0,1,27200,5,2,1,0,100.0,0,0,debt_consolidation,individual,16500,36,5.32,496.9,A,A1,Feb-2018,Current,whole,Cash,14793.69,1982.72,1706.31,276.41,0.0
office manager,10.0,MA,MORTGAGE,95000.0,Not Verified,15.48,,,,0,,2010,2,18,13,277964,47779,0,1,,0,0,3,9,7.0,13,0.0,0,6,39100,10,9,7,1,100.0,0,1,debt_consolidation,individual,19200,36,5.32,578.21,A,A1,Feb-2018,Current,whole,DirectPay,17214.48,2307.17,1985.52,321.65,0.0
petroleum operator ,10.0,NJ,MORTGAGE,80000.0,Source Verified,14.16,,,,0,,2009,2,19,11,285387,22788,0,0,,0,0,2,3,1.0,11,0.0,0,6,32500,11,8,6,2,100.0,0,0,major_purchase,individual,7050,36,9.93,227.26,B,B2,Jan-2018,Current,whole,Cash,6191.3,1132.41,858.7,273.71,0.0
driver/crane opeator,5.0,IL,RENT,60000.0,Source Verified,16.72,,,,0,,2012,13,11,11,242220,30552,0,0,,0,0,2,7,4.0,11,0.0,0,6,15600,8,8,7,1,100.0,0,0,debt_consolidation,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Current,whole,Cash,7403.61,744.57,596.39,148.18,0.0
cfo,4.0,TN,MORTGAGE,113000.0,Not Verified,15.28,,,,0,,2002,6,29,21,795794,78028,0,1,,0,0,9,7,0.0,21,0.0,0,4,16600,13,10,7,3,100.0,0,1,home_improvement,individual,10800,60,9.44,226.51,B,B1,Jan-2018,Current,whole,Cash,10081.03,1126.89,718.97,407.92,0.0
supervisor of technical trades,2.0,NY,MORTGAGE,75000.0,Not Verified,21.63,,,,0,,2004,2,27,17,213035,79897,0,0,,0,0,2,7,5.0,17,0.0,0,4,46900,19,14,7,3,100.0,0,0,credit_card,individual,20000,36,5.31,602.21,A,A1,Mar-2018,Current,whole,DirectPay,18452.04,1800.73,1547.96,252.77,0.0
bus operator ,10.0,TX,RENT,47000.0,Not Verified,18.92,,,,0,,2004,0,22,8,24823,11443,0,0,,0,0,3,5,17.0,8,0.0,0,3,8300,7,5,3,0,100.0,0,0,debt_consolidation,individual,5000,36,7.97,156.62,A,A5,Feb-2018,Current,whole,Cash,4501.41,622.05,498.59,123.46,0.0
web developer,2.0,FL,RENT,58000.0,Source Verified,14.66,,,,0,,2014,2,15,9,101890,43411,0,0,,0,0,3,7,4.0,9,0.0,0,1,36600,7,6,3,0,100.0,0,0,debt_consolidation,individual,16000,60,9.93,339.41,B,B2,Jan-2018,Current,whole,Cash,14947.68,1688.22,1052.32,635.9,0.0
educator,10.0,AL,MORTGAGE,55000.0,Source Verified,29.58,,,,0,62.0,1996,0,30,14,245213,27408,0,0,62.0,0,0,5,3,17.0,14,0.0,0,3,22300,14,7,6,4,93.3,0,0,debt_consolidation,individual,15600,36,6.08,475.15,A,A2,Jan-2018,Current,whole,Cash,13599.28,2370.48,2000.72,369.76,0.0
ceo,4.0,CA,RENT,250000.0,Source Verified,1.12,,,,0,75.0,2000,0,12,9,27800,5459,0,0,,0,0,0,3,19.0,9,0.0,0,5,20200,10,8,6,0,100.0,0,0,debt_consolidation,individual,30000,36,10.9,980.75,B,B4,Mar-2018,Current,whole,Cash,28577.07,1925.17,1422.93,502.24,0.0
account administrator,10.0,CO,MORTGAGE,55200.0,Not Verified,18.67,,,,0,,2000,0,25,12,206967,57403,0,0,,0,0,7,4,,12,0.0,0,3,26400,9,4,3,5,100.0,0,0,credit_card,individual,16000,36,6.08,487.34,A,A2,Jan-2018,Current,whole,Cash,13947.94,2425.89,2052.06,373.83,0.0
planning supervisor ,10.0,NY,MORTGAGE,155000.0,Verified,16.13,,,,0,,2005,2,33,12,294645,96202,0,0,,0,0,6,11,6.0,12,0.0,0,1,24500,13,4,2,2,100.0,0,0,major_purchase,individual,25000,36,9.93,805.86,B,B2,Feb-2018,Current,whole,Cash,22574.16,3209.65,2425.84,783.81,0.0
pipefitter,1.0,MA,RENT,40000.0,Source Verified,2.91,,,,0,,2014,2,6,4,15800,2523,0,0,,0,0,0,4,7.0,4,0.0,0,2,13800,6,4,3,0,100.0,0,0,car,individual,12000,36,9.92,386.76,B,B2,Mar-2018,Current,whole,Cash,11130.17,1153.67,869.83,283.84,0.0
owner,3.0,TN,RENT,42500.0,Not Verified,18.55,,,,0,,2010,1,7,6,41886,27474,0,0,,0,0,3,1,5.0,6,0.0,0,2,5800,3,3,3,0,100.0,0,0,credit_card,individual,6000,36,7.35,186.23,A,A4,Jan-2018,Current,whole,Cash,5243.39,928.7,756.61,172.09,0.0
senior engagement lead,10.0,NJ,OWN,230000.0,Source Verified,9.19,,,,0,38.0,1998,2,20,8,441037,53298,0,0,38.0,0,0,2,6,3.0,8,0.0,0,3,38500,12,4,3,3,72.2,0,0,debt_consolidation,individual,12000,36,10.91,392.36,B,B4,Feb-2018,Current,whole,Cash,10851.41,1562.17,1148.59,413.58,0.0
field service engineer ,1.0,MA,RENT,110000.0,Not Verified,11.62,,,,3,19.0,2006,6,15,6,50939,19887,0,0,23.0,0,0,2,1,4.0,6,0.0,0,3,12700,8,4,3,2,90.9,0,0,credit_card,individual,8500,36,7.34,263.78,A,A4,Mar-2018,Current,whole,DirectPay,7860.74,787.87,639.26,148.61,0.0
military officer captain,10.0,GA,RENT,145000.0,Verified,14.66,155000.0,Source Verified,14.98,0,38.0,2003,0,29,11,206996,61746,0,0,47.0,0,0,3,4,23.0,11,0.0,0,4,11000,10,5,4,3,72.4,0,0,debt_consolidation,joint,40000,36,6.72,1229.97,A,A3,Feb-2018,Current,whole,Cash,35942.19,4890.01,4057.81,832.2,0.0
home equity specialist ,10.0,PA,RENT,42000.0,Not Verified,9.91,,,,0,35.0,1996,0,21,10,50600,11048,0,0,,0,0,0,2,,10,0.0,0,5,46500,18,10,7,0,95.2,0,0,debt_consolidation,individual,7200,36,7.34,223.44,A,A4,Mar-2018,Current,whole,Cash,6840.1,443.94,359.9,84.04,0.0
accounting supervisor,10.0,IN,OWN,37000.0,Not Verified,4.25,,,,0,,2005,0,12,7,19900,4154,0,0,,0,0,0,2,16.0,7,0.0,0,1,12600,12,7,2,0,100.0,0,0,debt_consolidation,individual,10000,36,6.72,307.5,A,A3,Feb-2018,Current,whole,Cash,8985.52,1226.27,1014.48,211.79,0.0
business analysis/csu manager,10.0,GA,MORTGAGE,75000.0,Source Verified,15.31,,,,0,,2001,2,32,23,88855,28400,0,1,,0,0,1,4,4.0,23,0.0,0,1,15400,24,22,2,2,100.0,0,1,home_improvement,individual,35000,60,10.9,759.25,B,B4,Mar-2018,Current,whole,Cash,33663.94,2235.36,1336.06,899.3,0.0
clerk,10.0,NY,MORTGAGE,66000.0,Source Verified,6.11,121000.0,Not Verified,9.63,0,,2006,3,6,4,246436,13900,0,0,,0,0,1,3,5.0,4,0.0,0,1,4300,3,2,1,1,100.0,0,0,major_purchase,joint,2400,36,10.41,77.91,B,B3,Mar-2018,Current,whole,Cash,2227.24,230.95,172.76,58.19,0.0
formulation scientist,2.0,OH,RENT,89000.0,Not Verified,18.65,,,,0,24.0,2001,0,20,10,114770,52475,0,0,24.0,0,0,3,4,14.0,10,0.0,0,4,46100,8,7,5,3,95.0,0,0,credit_card,individual,19600,36,5.32,590.25,A,A1,Jan-2018,Current,whole,Cash,17060.8,2945.46,2539.2,406.26,0.0
supply chain manager,0.0,AR,RENT,150000.0,Source Verified,7.82,,,,0,,2003,2,62,22,381481,93341,0,0,,0,0,3,6,5.0,22,0.0,0,1,39900,28,18,3,3,100.0,0,0,medical,individual,13000,36,5.32,391.5,A,A1,Feb-2018,Current,whole,Cash,11655.63,1562.16,1344.37,217.79,0.0
research technician,6.0,MS,RENT,44000.0,Source Verified,19.42,,,,0,,1998,1,12,6,63963,39654,0,0,,0,0,3,2,11.0,6,0.0,0,1,15300,3,3,1,0,100.0,0,0,credit_card,individual,7000,36,6.08,213.21,A,A2,Feb-2018,Current,whole,DirectPay,6283.6,850.48,716.4,134.08,0.0
,,TN,OWN,50000.0,Source Verified,14.16,,,,0,,2002,2,13,5,55089,29320,0,0,,0,0,1,3,1.0,5,0.0,0,2,29300,7,4,4,1,100.0,0,0,other,individual,20000,36,9.92,644.6,B,B2,Mar-2018,Current,whole,Cash,18550.28,1922.78,1449.72,473.06,0.0
field operations supervisor,2.0,IL,MORTGAGE,80000.0,Not Verified,9.92,,,,0,45.0,2003,3,29,11,322553,20241,0,0,45.0,0,0,1,9,4.0,11,0.0,0,3,25100,17,9,5,7,92.9,0,0,credit_card,individual,12000,36,6.71,368.94,A,A3,Mar-2018,Current,whole,DirectPay,11089.41,1102.35,910.59,191.76,0.0
senior quality analyst,9.0,IN,MORTGAGE,91000.0,Not Verified,24.99,,,,0,,2002,9,44,23,307277,105205,0,0,,0,0,6,8,1.0,23,0.0,0,5,60500,24,16,7,1,100.0,0,0,debt_consolidation,individual,15000,36,7.35,465.57,A,A4,Jan-2018,Current,whole,Cash,12832.7,2593.88,2167.3,426.58,0.0
production,10.0,MN,MORTGAGE,75000.0,Source Verified,0.54,,,,0,32.0,2006,4,17,7,253569,42,0,0,42.0,0,200,0,6,2.0,7,0.0,0,3,35100,8,6,3,1,70.6,0,0,major_purchase,individual,24000,60,10.42,514.91,B,B3,Jan-2018,Current,whole,Cash,22440.6,2539.82,1559.4,980.42,0.0
it director,10.0,CA,MORTGAGE,182000.0,Source Verified,16.72,,,,0,25.0,2003,0,14,7,604303,78003,0,0,51.0,0,0,3,1,14.0,7,0.0,0,2,25500,6,3,2,2,84.6,0,0,debt_consolidation,individual,40000,36,7.97,1252.91,A,A5,Feb-2018,Current,whole,Cash,36011.51,4976.22,3988.49,987.73,0.0
,,TX,MORTGAGE,65000.0,Not Verified,10.62,,,,0,29.0,1998,1,28,13,168410,25122,0,0,,0,0,0,1,6.0,13,0.0,0,4,59500,21,12,5,3,92.6,0,0,debt_consolidation,individual,25000,60,9.92,530.2,B,B2,Mar-2018,Current,whole,Cash,24350.26,1046.62,649.74,396.88,0.0
owner,4.0,MS,MORTGAGE,170000.0,Not Verified,14.23,,,,0,,1997,1,36,16,296303,95665,0,0,,0,0,4,9,12.0,16,0.0,0,5,34600,15,11,7,1,100.0,0,0,debt_consolidation,individual,25000,60,9.93,530.32,B,B2,Jan-2018,Current,whole,Cash,23355.79,2624.02,1644.21,979.81,0.0
physical therapist assistant ,3.0,AL,MORTGAGE,55000.0,Source Verified,8.66,,,,0,,2014,0,8,6,122838,16537,0,0,,0,0,1,3,,6,0.0,0,1,7000,4,4,1,3,100.0,0,0,debt_consolidation,individual,10000,60,11.99,222.4,B,B5,Jan-2018,Current,whole,Cash,9375.22,1105.34,624.78,480.56,0.0
office manager/ bookkeeper,10.0,FL,OWN,85000.0,Not Verified,26.49,,,,0,,1995,0,28,20,117100,53291,0,0,,0,0,1,4,,20,0.0,0,9,70400,24,19,10,1,100.0,0,0,credit_card,individual,25000,36,6.72,768.74,A,A3,Feb-2018,Fully Paid,whole,Cash,0.0,25477.714194151,25000.0,477.71,0.0
service technician ,7.0,CO,OWN,95000.0,Source Verified,11.33,,,,0,,2008,0,9,7,77389,46601,0,0,,0,138,1,3,,7,0.0,0,2,37800,7,6,2,0,100.0,0,0,debt_consolidation,individual,28000,36,6.71,860.86,A,A3,Mar-2018,Current,whole,Cash,25875.28,2572.14,2124.72,447.42,0.0
physician extender ,2.0,SC,RENT,71000.0,Not Verified,15.48,,,,0,,2005,0,19,10,71270,39261,0,0,,0,0,6,2,,10,0.0,0,3,24400,5,4,3,0,100.0,0,0,credit_card,individual,10000,36,6.07,304.54,A,A2,Mar-2018,Current,fractional,Cash,9234.27,920.37,765.73,154.64,0.0
yard specialist,3.0,NC,MORTGAGE,41200.0,Source Verified,16.95,,,,0,55.0,2006,0,20,9,191066,47940,0,0,55.0,0,0,4,8,14.0,9,0.0,0,2,12000,8,4,2,1,85.0,0,0,other,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Current,whole,Cash,8488.64,1824.43,1511.36,313.07,0.0
lease operator,0.0,LA,OWN,95000.0,Not Verified,12.42,,,,0,,1995,0,20,5,390874,37792,0,0,,0,0,1,1,,5,0.0,0,3,27500,6,3,3,2,100.0,0,0,other,individual,6500,36,5.31,195.72,A,A1,Mar-2018,Current,whole,Cash,5996.91,592.91,503.09,89.82,0.0
dean of humanities and the arts,9.0,NE,RENT,88000.0,Source Verified,13.04,,,,0,58.0,1998,2,41,11,39353,24021,0,0,58.0,0,0,1,4,5.0,11,0.0,0,1,3000,31,10,4,1,100.0,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Fully Paid,whole,Cash,0.0,10220.624445269,10000.0,220.62,0.0
rn,10.0,CO,MORTGAGE,65000.0,Source Verified,40.15,125000.0,Source Verified,23.92,0,,2003,3,29,17,459836,117216,0,1,,0,0,8,10,1.0,17,0.0,0,2,18800,13,8,4,4,100.0,0,1,debt_consolidation,joint,14500,36,7.35,450.05,A,A4,Jan-2018,Current,whole,Cash,12671.55,2238.41,1828.45,409.96,0.0
