emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
operational risk manager,10.0,IL,MORTGAGE,210000.0,Verified,9.53,,,,0,,2003,2,18,7,322046,73705,0,0,,0,0,4,6,2.0,7,,0,2,17500,6,2,2,5,100.0,0,0,medical,individual,5000,36,26.77,203.51,E,E5,Feb-2018,Fully Paid,fractional,Cash,0.0,5202.6426724643,5000.0,202.64,0.0
welder,1.0,CA,MORTGAGE,83000.0,Source Verified,18.44,,,,3,14.0,2005,1,11,6,555154,39482,0,0,22.0,0,0,1,1,8.0,6,0.0,0,3,8300,7,4,3,2,63.6,0,0,debt_consolidation,individual,20000,60,15.05,476.33,C,C4,Jan-2018,Fully Paid,whole,Cash,0.0,20653.717721938,20000.0,653.72,0.0
warranty administrator,1.0,NV,MORTGAGE,42000.0,Source Verified,32.0,95000.0,Source Verified,16.12,0,,1991,4,19,9,272403,47575,0,1,,0,0,3,5,5.0,9,0.0,0,3,10100,7,5,5,1,100.0,0,1,credit_card,joint,10000,36,11.98,332.05,B,B5,Mar-2018,Current,whole,Cash,9296.37,989.49,703.63,285.86,0.0
teacher,9.0,AR,MORTGAGE,50000.0,Verified,36.75,101000.0,Verified,20.92,1,3.0,1982,0,31,20,246210,51523,0,0,,0,0,2,3,17.0,20,0.0,0,8,71100,26,17,10,2,90.3,0,0,credit_card,joint,19000,60,19.03,493.19,D,D3,Feb-2018,Current,whole,Cash,18214.02,1922.54,785.98,1136.56,0.0
controller,3.0,SC,MORTGAGE,80000.0,Source Verified,28.3,,,,0,35.0,2004,0,27,14,250359,113927,0,0,,0,0,2,4,20.0,14,0.0,0,3,23800,14,11,6,4,96.3,0,0,debt_consolidation,individual,28000,60,20.39,747.92,D,D4,Mar-2018,Current,whole,Cash,27169.59,2180.32,830.41,1349.91,0.0
driver,2.0,MD,RENT,45000.0,Source Verified,10.59,,,,0,,2003,1,9,7,14500,13304,0,0,,0,0,0,0,6.0,7,0.0,0,4,11300,8,7,6,0,100.0,0,0,debt_consolidation,individual,10000,36,21.45,379.07,D,D5,Jan-2018,Current,fractional,Cash,8961.95,1871.52,1038.05,833.47,0.0
supplies clerk,10.0,NJ,MORTGAGE,70000.0,Verified,17.06,105000.0,Verified,13.27,0,102.0,1988,2,21,14,363649,29954,0,0,102.0,0,0,3,4,7.0,14,0.0,0,3,12900,15,10,7,2,95.2,0,0,car,joint,24000,60,15.04,571.47,C,C4,Mar-2018,In Grace Period,whole,Cash,23455.27,1102.83,544.73,558.1,0.0
,,MI,MORTGAGE,19000.0,Not Verified,24.79,43000.0,Not Verified,17.15,0,,2004,0,12,6,23234,12435,0,1,,0,154,0,2,13.0,6,0.0,0,2,3000,8,5,4,1,100.0,0,1,other,joint,10000,60,18.06,254.27,D,D2,Jan-2018,Current,whole,Cash,9465.3,1261.32,534.7,726.62,0.0
reader advisor,10.0,VA,RENT,77000.0,Source Verified,14.82,,,,0,80.0,1977,0,29,14,74852,44015,0,0,80.0,0,0,2,5,16.0,14,0.0,0,3,27700,19,11,6,3,96.6,0,0,debt_consolidation,individual,35000,60,15.05,833.57,C,C4,Jan-2018,Current,whole,Cash,33391.61,3275.75,1608.39,1667.36,0.0
truck driver,2.0,TX,RENT,42000.0,Source Verified,25.89,,,,0,,2004,1,11,6,43239,31094,0,0,,0,0,3,4,1.0,6,0.0,0,2,8300,7,3,3,0,100.0,0,0,credit_card,individual,10000,36,15.05,346.9,C,C4,Feb-2018,Current,whole,Cash,9097.26,1379.24,902.74,476.5,0.0
police recruit,0.0,TX,RENT,41000.0,Verified,25.7,,,,0,,2008,0,23,7,29311,13527,0,0,,0,0,2,1,17.0,7,0.0,0,5,10300,7,5,5,2,100.0,0,0,debt_consolidation,individual,4500,36,15.05,156.11,C,C4,Feb-2018,Current,whole,Cash,4093.75,620.68,406.25,214.43,0.0
hes advisor ,2.0,TX,MORTGAGE,115000.0,Verified,18.72,,,,0,26.0,2005,6,21,15,394519,69124,0,0,42.0,0,0,2,11,1.0,15,,0,8,40150,12,10,5,2,76.0,0,0,debt_consolidation,individual,20000,60,22.91,562.78,E,E1,Feb-2018,Current,whole,Cash,19255.22,2225.66,744.78,1480.88,0.0
sr admin assistant,10.0,TX,RENT,95731.0,Not Verified,19.64,,,,0,,2002,1,37,15,86768,53109,0,0,,0,0,2,10,4.0,15,0.0,0,2,33700,21,13,4,0,100.0,0,0,debt_consolidation,individual,20600,60,30.79,676.52,G,G1,Jan-2018,Current,whole,Cash,19821.53,3345.79,778.47,2567.32,0.0
president,2.0,CA,RENT,127000.0,Source Verified,9.12,,,,1,7.0,2013,0,11,9,74518,34313,0,0,,0,0,1,2,18.0,9,0.0,0,3,32300,9,8,4,0,100.0,0,0,major_purchase,individual,35000,60,15.05,833.57,C,C4,Feb-2018,Current,whole,Cash,33396.01,3305.02,1603.99,1701.03,0.0
,,FL,OWN,22000.0,Source Verified,13.05,40000.0,Source Verified,22.39,0,49.0,1984,0,6,3,130600,4277,0,0,49.0,0,0,0,0,,3,0.0,0,1,2300,3,2,2,1,80.0,0,0,debt_consolidation,joint,1925,36,17.47,69.09,D,D1,Mar-2018,Current,whole,Cash,1842.26,139.02,82.74,56.28,0.0
gourmet food server,10.0,NV,MORTGAGE,73000.0,Verified,39.08,,,,0,,2007,8,28,24,146435,51162,0,1,,0,0,3,9,0.0,24,0.0,0,8,40600,24,21,13,1,100.0,0,1,debt_consolidation,individual,20000,36,13.59,679.58,C,C2,Feb-2018,Current,whole,Cash,18156.66,2703.22,1843.34,859.88,0.0
rn,10.0,VA,MORTGAGE,114000.0,Verified,28.13,,,,1,15.0,2001,1,28,17,451597,88594,0,0,15.0,0,0,6,8,12.0,17,0.0,0,2,33000,14,10,8,5,96.4,0,0,credit_card,individual,20000,60,14.07,466.1,C,C3,Mar-2018,Current,whole,Cash,19297.02,1367.03,702.98,664.05,0.0
medical billing account rep,10.0,FL,MORTGAGE,30000.0,Not Verified,32.4,,,,0,27.0,2005,1,27,23,69244,23425,0,0,38.0,0,0,1,4,10.0,21,,0,5,16850,23,20,15,0,93.0,0,0,debt_consolidation,individual,10500,60,9.93,222.74,B,B2,Feb-2018,Current,whole,Cash,9949.81,885.17,550.19,334.98,0.0
general manager,5.0,NH,MORTGAGE,74000.0,Not Verified,32.06,,,,0,,1999,0,15,9,384554,63783,0,0,,0,0,3,1,16.0,9,0.0,0,5,66400,7,5,5,3,100.0,0,0,car,individual,5500,36,12.61,184.29,C,C1,Mar-2018,Current,fractional,Cash,5116.52,549.02,383.48,165.54,0.0
bartender,0.0,UT,RENT,25000.0,Source Verified,3.7,,,,1,14.0,1972,1,6,4,1900,807,0,0,,0,0,0,2,1.0,4,0.0,0,2,1200,6,4,3,0,66.7,0,0,debt_consolidation,individual,5000,36,12.62,167.56,C,C1,Jan-2018,Current,fractional,Cash,4412.9,829.04,587.1,241.94,0.0
,,DE,OWN,32000.0,Source Verified,22.09,,,,0,34.0,1998,6,13,6,30649,24714,0,0,34.0,0,0,3,7,1.0,6,0.0,0,2,2500,4,3,3,3,76.9,0,0,other,individual,9600,36,17.47,344.52,D,D1,Mar-2018,Current,whole,Cash,8976.73,1014.93,623.27,391.66,0.0
asst to the director of theatre,3.0,KY,RENT,24000.0,Source Verified,16.3,,,,0,,2011,1,11,11,54966,42068,0,0,,0,0,9,3,1.0,11,0.0,0,1,10000,2,2,1,0,100.0,0,0,major_purchase,individual,10450,60,19.42,273.5,D,D3,Mar-2018,Current,whole,Cash,9609.03,1297.95,840.97,456.98,0.0
operations manager,0.0,OH,RENT,60000.0,Verified,19.22,,,,0,,2007,3,23,14,69357,68594,0,0,,0,0,9,2,6.0,14,0.0,0,3,10600,4,4,4,0,100.0,0,0,other,individual,2400,36,17.47,86.13,D,D1,Feb-2018,Current,whole,Cash,2244.18,256.06,155.82,100.24,0.0
administrative assistant,9.0,TX,MORTGAGE,41787.0,Verified,37.74,,,,0,,1992,1,32,11,42639,36441,0,0,,0,0,2,7,5.0,11,0.0,0,8,22300,17,9,9,1,100.0,0,0,credit_card,individual,12800,36,18.06,463.14,D,D2,Jan-2018,Current,whole,Cash,11693.32,1871.83,1106.68,765.15,0.0
composite tehnician,4.0,CA,MORTGAGE,45000.0,Verified,15.44,100000.0,Verified,16.37,0,,2005,2,31,18,215675,13559,0,1,,0,0,2,13,9.0,18,0.0,0,5,20700,21,15,6,2,100.0,0,1,other,joint,8000,36,16.02,281.34,C,C5,Jan-2018,Current,fractional,Cash,7103.69,1392.46,896.31,496.15,0.0
pta,0.0,OK,MORTGAGE,77000.0,Verified,18.39,,,,0,37.0,2001,3,11,7,174300,31663,0,0,,0,542,3,4,1.0,7,0.0,0,2,12400,5,3,3,1,90.0,0,0,debt_consolidation,individual,30000,36,19.03,1100.14,D,D3,Feb-2018,Current,fractional,Cash,27442.4,4368.84,2557.6,1811.24,0.0
credit analyst,2.0,IL,MORTGAGE,49500.0,Source Verified,34.86,,,,0,,2006,1,35,14,241110,159851,0,0,,0,0,6,8,2.0,14,0.0,0,3,26700,8,7,5,1,100.0,0,0,credit_card,individual,15000,60,15.04,357.17,C,C4,Mar-2018,Current,whole,Cash,14486.1,996.32,513.9,482.42,0.0
mechanic,10.0,NY,MORTGAGE,147000.0,Source Verified,5.16,,,,0,56.0,2005,6,11,8,386381,23551,0,0,,0,0,1,6,1.0,8,0.0,0,5,20500,6,6,6,1,81.8,0,0,debt_consolidation,individual,30000,60,16.01,729.71,C,C5,Mar-2018,Current,whole,Cash,29336.68,1432.74,663.32,769.42,0.0
superintendent -customer operations,10.0,NJ,OWN,140000.0,Verified,28.53,,,,0,,1983,1,40,14,454500,177350,0,0,,0,0,1,5,6.0,14,0.0,0,7,77500,23,12,11,3,100.0,0,0,debt_consolidation,individual,15000,36,22.91,579.95,E,E1,Feb-2018,Current,fractional,Cash,13791.64,2281.62,1208.36,1073.26,0.0
,,MN,RENT,55000.0,Not Verified,12.22,,,,4,19.0,2000,3,22,16,26500,10994,0,1,19.0,0,0,0,4,2.0,16,0.0,0,4,7600,22,16,13,0,85.7,0,1,debt_consolidation,individual,15000,60,18.06,381.4,D,D2,Jan-2018,Current,whole,Cash,14197.97,1891.95,802.03,1089.92,0.0
owner,10.0,MN,MORTGAGE,23000.0,Verified,49.58,98000.0,Verified,19.87,0,59.0,1994,2,31,11,44927,29553,0,1,59.0,0,0,1,3,0.0,10,0.0,0,7,14700,17,10,7,2,96.0,0,1,credit_card,joint,15000,60,20.0,397.41,D,D4,Feb-2018,Current,whole,Cash,14395.45,1572.97,604.55,968.42,0.0
project manager,10.0,NY,OWN,66000.0,Not Verified,13.27,169000.0,Not Verified,16.56,0,50.0,1990,0,11,7,65475,60327,0,0,,0,0,1,2,17.0,7,0.0,0,3,20800,9,6,5,1,81.8,0,0,debt_consolidation,joint,11200,36,15.05,388.53,C,C4,Feb-2018,Current,whole,Cash,10188.92,1535.39,1011.08,524.31,0.0
audit manager,0.0,TX,MORTGAGE,101000.0,Source Verified,18.5,,,,1,5.0,2005,2,41,15,343573,39168,0,0,5.0,0,0,4,8,11.0,15,0.0,0,4,20000,26,10,5,2,95.1,0,0,debt_consolidation,individual,20000,60,26.77,607.97,E,E5,Mar-2018,Current,whole,Cash,19503.68,1764.42,496.32,1268.1,0.0
line cook,1.0,SC,RENT,28000.0,Source Verified,26.96,,,,0,,2011,0,11,10,28300,13329,0,0,,0,0,1,0,19.0,10,0.0,0,5,7900,10,9,8,0,100.0,0,0,debt_consolidation,individual,12000,36,15.04,416.22,C,C4,Mar-2018,Current,fractional,Cash,11192.5,1228.61,807.5,421.11,0.0
,,WY,RENT,31812.0,Not Verified,37.83,,,,0,,2000,0,16,8,58700,38487,0,0,,0,0,0,1,,8,0.0,0,6,48400,15,7,6,0,100.0,0,0,debt_consolidation,individual,10000,60,21.85,275.34,D,D5,Feb-2018,Current,whole,Cash,9715.1,838.16,284.9,553.26,0.0
construction manager ,5.0,CA,RENT,95000.0,Source Verified,13.49,,,,1,14.0,1999,2,18,9,66559,47029,0,0,58.0,0,826,1,8,6.0,9,0.0,0,1,2100,13,7,6,0,83.3,0,0,moving,individual,10000,36,10.42,324.65,B,B3,Feb-2018,Current,whole,Cash,9036.27,1287.02,963.73,323.29,0.0
education specialist,0.0,PA,MORTGAGE,65000.0,Source Verified,29.36,,,,7,15.0,2000,0,14,12,86480,66933,0,0,,0,0,9,0,,12,0.0,0,3,34900,4,3,3,0,50.0,0,0,debt_consolidation,individual,30000,36,17.47,1076.62,D,D1,Mar-2018,Current,whole,Cash,28052.31,3200.74,1947.69,1253.05,0.0
driver,10.0,NY,RENT,42000.0,Not Verified,25.23,,,,1,22.0,1999,1,23,9,55732,29882,0,0,22.0,0,0,2,5,6.0,9,0.0,0,1,11500,15,7,2,0,95.7,0,0,credit_card,individual,20000,36,12.61,670.13,C,C1,Mar-2018,Current,whole,Cash,18605.56,1982.37,1394.44,587.93,0.0
,,MO,MORTGAGE,30784.0,Verified,27.56,66292.0,Verified,38.41,0,47.0,1990,2,20,7,130301,9913,0,0,47.0,0,0,1,5,5.0,7,0.0,0,3,14300,8,4,4,2,85.0,0,0,debt_consolidation,joint,6275,36,23.87,245.76,E,E2,Feb-2018,Current,fractional,Cash,5776.61,966.4,498.39,468.01,0.0
manager,4.0,FL,OWN,60000.0,Verified,26.88,,,,0,,2010,2,55,23,350266,76834,1,0,,0,193,3,10,9.0,23,0.0,0,5,30600,22,19,6,2,100.0,0,0,credit_card,individual,15000,36,18.06,542.74,D,D2,Feb-2018,Current,whole,Cash,13703.13,2246.21,1296.87,949.34,0.0
qc lead,4.0,CA,MORTGAGE,63000.0,Source Verified,15.3,,,,0,78.0,2002,3,22,11,33048,20366,0,1,,0,0,2,9,8.0,11,0.0,0,2,2300,14,9,8,0,100.0,0,1,debt_consolidation,individual,10000,36,16.02,351.67,C,C5,Feb-2018,In Grace Period,whole,Cash,9336.71,1032.76,663.29,369.47,0.0
field service engineer ,1.0,MA,RENT,110000.0,Not Verified,11.62,,,,3,19.0,2006,6,15,6,50939,19887,0,0,23.0,0,0,2,1,4.0,6,0.0,0,3,12700,8,4,3,2,90.9,0,0,credit_card,individual,8500,36,7.34,263.78,A,A4,Mar-2018,Current,whole,DirectPay,7860.74,787.87,639.26,148.61,0.0
automotive service lane manager,10.0,WV,OWN,172000.0,Verified,24.31,,,,0,,2003,1,32,17,764559,110739,0,0,,0,0,4,7,4.0,17,0.0,0,6,45200,12,11,8,4,100.0,0,0,home_improvement,individual,36000,60,15.05,857.39,C,C4,Feb-2018,Current,whole,Cash,34345.64,3399.46,1654.36,1745.1,0.0
cpa,4.0,CA,MORTGAGE,85000.0,Source Verified,22.73,,,,0,,1989,1,16,9,428429,69424,0,0,,0,0,4,7,2.0,9,0.0,0,3,37800,5,4,3,3,100.0,0,0,debt_consolidation,individual,9000,36,16.01,316.46,C,C5,Mar-2018,Current,whole,Cash,8402.95,941.38,597.05,344.33,0.0
general manager,3.0,WI,RENT,36000.0,Not Verified,29.47,,,,0,,2004,4,11,5,46680,44111,0,1,,0,0,2,4,5.0,5,0.0,0,1,4500,7,3,2,0,100.0,0,1,debt_consolidation,individual,6100,36,23.88,238.94,E,E2,Feb-2018,Current,fractional,Cash,5615.58,939.57,484.42,455.15,0.0
,,TX,OWN,17000.0,Not Verified,27.68,78000.0,Not Verified,34.6,0,,2002,1,17,12,96126,62706,0,0,,0,0,8,2,1.0,12,0.0,0,1,22000,5,4,1,0,100.0,0,0,other,joint,2250,36,15.05,78.06,C,C4,Jan-2018,Current,whole,Cash,1927.12,453.42,322.88,130.54,0.0
video management,1.0,CA,OWN,45000.0,Source Verified,16.97,,,,0,,2014,3,11,8,56393,20877,0,0,,0,0,1,9,5.0,8,0.0,0,6,42200,8,6,6,0,100.0,0,0,debt_consolidation,individual,25000,36,21.45,947.67,D,D5,Feb-2018,Current,fractional,Cash,22942.47,3731.1,2057.53,1673.57,0.0
claims adjudicator,10.0,OH,MORTGAGE,40000.0,Verified,19.44,,,,0,,2000,1,26,13,38688,17445,0,1,,0,148,2,10,5.0,13,0.0,0,2,11800,18,11,8,1,100.0,0,1,debt_consolidation,individual,16000,60,25.82,477.35,E,E4,Feb-2018,Fully Paid,whole,Cash,0.0,16047.9689333335,16000.0,47.97,0.0
head of product design,2.0,CA,RENT,182000.0,Not Verified,6.06,,,,1,10.0,2005,2,27,9,56000,34611,0,0,49.0,0,0,0,0,1.0,9,0.0,0,4,51200,23,9,5,0,85.2,0,0,credit_card,individual,32000,60,14.08,745.92,C,C3,Jan-2018,Current,whole,Cash,29785.98,4165.75,2214.02,1951.73,0.0
project manager,3.0,CA,RENT,51000.0,Verified,17.25,,,,0,,1994,1,12,8,52441,38608,0,1,,0,0,2,7,6.0,8,0.0,0,4,20300,8,6,4,1,100.0,0,1,credit_card,individual,12000,36,15.05,416.28,C,C4,Feb-2018,Fully Paid,whole,Cash,0.0,12006.5250000002,12000.0,6.53,0.0
import booking and pricing rep,2.0,NY,MORTGAGE,31200.0,Verified,33.19,,,,0,53.0,2007,2,18,9,40580,30433,0,0,53.0,0,0,3,4,7.0,9,0.0,0,3,3700,8,6,5,0,58.8,0,0,debt_consolidation,individual,2200,36,17.09,78.54,D,D1,Feb-2018,Current,fractional,Cash,2007.09,304.76,192.91,111.85,0.0
receptionist,1.0,IL,RENT,27278.0,Not Verified,19.93,,,,0,,2006,1,13,9,33085,21669,0,0,,0,0,5,3,6.0,9,0.0,0,3,6300,5,4,4,0,100.0,0,0,credit_card,individual,4800,36,16.01,168.78,C,C5,Mar-2018,Current,fractional,Cash,4481.56,512.75,318.44,194.31,0.0
,,NY,OWN,42000.0,Verified,14.4,,,,0,,2004,2,5,3,18785,15755,0,0,,0,0,1,1,9.0,3,0.0,0,2,6000,2,2,2,0,100.0,0,0,other,individual,10000,60,21.45,273.08,D,D5,Feb-2018,Current,whole,Cash,9612.44,1080.4,387.56,692.84,0.0
documentation supervisor,3.0,MA,MORTGAGE,50000.0,Verified,27.08,,,,0,39.0,2005,2,20,11,288973,46068,0,1,39.0,0,0,3,7,7.0,11,0.0,0,1,17300,10,7,2,2,95.0,0,1,debt_consolidation,individual,26000,60,21.85,715.88,D,D5,Mar-2018,Current,whole,Cash,25259.29,2084.52,740.71,1343.81,0.0
director of operations,6.0,MD,MORTGAGE,99000.0,Not Verified,11.73,,,,0,,2005,3,22,12,53203,27819,0,1,,0,0,2,3,2.0,12,0.0,0,8,27300,13,10,10,1,100.0,0,1,home_improvement,individual,12000,60,18.06,305.12,D,D2,Jan-2018,Current,whole,Cash,11358.38,1495.5,641.62,853.88,0.0
executive assistant,3.0,NY,RENT,57000.0,Source Verified,18.88,,,,0,24.0,2009,3,35,22,97124,68759,0,0,,0,0,13,5,1.0,22,0.0,0,2,25700,12,9,4,0,97.1,0,0,house,individual,11750,60,17.09,292.59,D,D1,Feb-2018,Current,whole,Cash,11238.19,1175.76,511.81,663.95,0.0
,,AZ,RENT,0.0,Not Verified,,167250.0,Not Verified,14.92,2,18.0,2007,10,15,9,43354,34997,0,0,,0,609,1,4,3.0,9,0.0,0,4,6200,8,8,5,0,86.7,0,0,debt_consolidation,joint,20000,60,17.09,498.02,D,D1,Feb-2018,Current,whole,Cash,19128.86,1944.61,871.14,1073.47,0.0
senior data engineer,4.0,VA,RENT,97000.0,Not Verified,0.33,,,,0,62.0,2008,2,11,6,25854,11195,0,0,,0,0,2,6,5.0,6,0.0,0,1,13000,8,3,1,0,81.8,0,0,other,individual,35000,36,16.01,1230.67,C,C5,Mar-2018,Current,whole,Cash,32678.16,3629.75,2321.84,1307.91,0.0
commercial insurance broker,5.0,CA,MORTGAGE,115000.0,Source Verified,12.89,,,,0,26.0,1986,2,32,12,527790,88149,0,0,26.0,0,0,9,2,4.0,12,0.0,0,0,0,7,2,0,1,64.5,0,0,small_business,individual,40000,60,15.04,952.44,C,C4,Mar-2018,Current,whole,Cash,38629.65,2823.9,1370.35,1453.55,0.0
server,0.0,OR,RENT,15000.0,Source Verified,7.2,56000.0,Source Verified,31.97,0,,2014,0,4,4,13800,13570,0,0,,0,0,1,1,,4,0.0,0,2,800,3,3,3,0,100.0,0,0,debt_consolidation,joint,16000,36,17.47,574.2,D,D1,Mar-2018,Current,whole,Cash,14961.22,1753.66,1038.78,714.88,0.0
engineer assistant ,0.0,CA,RENT,50000.0,Source Verified,13.3,,,,4,12.0,2008,1,21,13,31300,15584,0,0,66.0,0,0,3,1,8.0,13,0.0,0,5,16100,15,10,6,0,68.4,0,0,credit_card,individual,10000,36,13.59,339.79,C,C2,Feb-2018,Current,whole,Cash,9078.33,1351.61,921.67,429.94,0.0
sales manager,4.0,NC,MORTGAGE,121500.0,Verified,39.34,168300.0,Verified,37.73,0,,1998,0,15,13,249000,145985,0,0,,0,0,3,3,,13,0.0,0,4,50400,11,10,7,1,100.0,0,0,debt_consolidation,joint,32175,36,12.61,1078.07,C,C1,Mar-2018,Current,whole,Cash,29931.7,3189.13,2243.3,945.83,0.0
management,10.0,OR,RENT,68000.0,Source Verified,17.28,,,,0,,2013,3,38,31,205036,37791,0,0,,0,0,1,18,4.0,31,,0,29,180850,36,30,13,0,100.0,0,0,debt_consolidation,individual,20000,60,16.02,486.58,C,C5,Jan-2018,Current,whole,Cash,18872.39,2388.4,1127.61,1260.79,0.0
customs specialist,0.0,NY,MORTGAGE,42500.0,Source Verified,24.57,,,,0,,2007,2,21,7,123232,57581,0,0,,0,0,2,4,6.0,7,0.0,0,2,3000,14,4,4,2,100.0,0,0,debt_consolidation,individual,11000,36,18.06,398.01,D,D2,Feb-2018,Current,fractional,Cash,1660.07,9814.99,9339.93,475.06,0.0
assistant controller ,2.0,GA,RENT,68250.0,Source Verified,8.63,,,,0,70.0,1999,0,39,14,98559,90416,0,0,70.0,0,336,7,1,17.0,14,0.0,0,5,22200,9,7,5,1,100.0,0,0,credit_card,individual,13500,60,16.02,328.44,C,C5,Feb-2018,Current,whole,Cash,12895.16,1289.73,604.84,684.89,0.0
pilot,10.0,MI,MORTGAGE,318000.0,Source Verified,8.37,,,,0,,2002,9,8,7,125809,90942,0,1,,0,0,4,3,7.0,7,0.0,0,2,7100,4,3,2,0,100.0,0,1,debt_consolidation,individual,25000,60,19.03,648.93,D,D3,Jan-2018,Fully Paid,whole,Cash,0.0,26813.835028791,25000.0,1813.84,0.0
rn,10.0,CO,MORTGAGE,65000.0,Source Verified,40.15,125000.0,Source Verified,23.92,0,,2003,3,29,17,459836,117216,0,1,,0,0,8,10,1.0,17,0.0,0,2,18800,13,8,4,4,100.0,0,1,debt_consolidation,joint,14500,36,7.35,450.05,A,A4,Jan-2018,Current,whole,Cash,12671.55,2238.41,1828.45,409.96,0.0
