earliest_credit_line,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,months_since_last_credit_inquiry
2009,15,14,368543,24135,12.0
2005,26,24,80444,45181,6.0
2007,27,13,97664,21687,10.0
2004,22,10,37300,14770,
1990,6,6,63600,53168,
2001,28,17,451597,88594,12.0
1992,22,8,96633,43253,2.0
2003,37,8,291176,33890,14.0
2005,27,23,69244,23425,10.0
2002,16,13,47882,36724,5.0
1999,15,9,384554,63783,16.0
1972,6,4,1900,807,1.0
1998,13,6,30649,24714,1.0
2009,32,21,43430,14955,9.0
2010,5,5,49500,19719,15.0
2011,11,11,54966,42068,1.0
2012,23,16,188426,59514,1.0
2001,15,8,190216,24861,
2010,11,6,13450,4212,6.0
2007,23,14,69357,68594,6.0
1992,32,11,42639,36441,5.0
2005,31,18,215675,13559,9.0
2001,11,7,174300,31663,1.0
2001,21,13,158659,65964,0.0
2000,24,8,103527,70510,12.0
1984,30,15,45100,860,0.0
1999,32,10,524622,87687,12.0
1975,40,10,73740,14461,3.0
2001,44,18,476029,121076,2.0
2006,35,14,241110,159851,2.0
2004,21,15,37596,18294,12.0
1996,21,15,48354,40982,4.0
2004,23,9,86360,47451,2.0
2005,11,8,386381,23551,1.0
1983,40,14,454500,177350,6.0
2002,39,28,128476,16061,1.0
2000,22,16,26500,10994,2.0
2000,15,10,619105,84019,18.0
2003,9,3,49529,7020,
2010,18,13,277964,47779,7.0
2009,19,11,285387,22788,1.0
1994,31,11,44927,29553,0.0
1990,11,7,65475,60327,17.0
2012,11,11,242220,30552,4.0
2005,41,15,343573,39168,11.0
2002,29,21,795794,78028,0.0
1998,41,11,141543,42210,2.0
2011,11,10,28300,13329,19.0
2004,27,17,213035,79897,5.0
2011,16,9,56476,40706,3.0
2011,15,5,36564,20307,10.0
2004,22,8,24823,11443,17.0
2014,15,9,101890,43411,4.0
1996,30,14,245213,27408,17.0
2000,16,8,58700,38487,
1999,18,9,66559,47029,6.0
2000,14,12,86480,66933,
2000,12,9,27800,5459,19.0
2000,25,12,206967,57403,
1999,23,9,55732,29882,6.0
1990,20,7,130301,9913,5.0
2010,55,23,350266,76834,9.0
1999,34,10,179741,165182,14.0
2002,22,11,33048,20366,8.0
2005,33,12,294645,96202,6.0
2014,6,4,15800,2523,7.0
2010,7,6,41886,27474,5.0
1998,20,8,441037,53298,3.0
2008,24,18,293947,164954,8.0
2000,7,6,15100,5929,15.0
2006,15,6,50939,19887,4.0
2003,32,17,764559,110739,4.0
2003,29,11,206996,61746,23.0
1989,16,9,428429,69424,2.0
1996,21,10,50600,11048,
2004,11,5,46680,44111,5.0
2002,17,12,96126,62706,1.0
2005,12,7,19900,4154,16.0
2014,11,8,56393,20877,5.0
2000,26,13,38688,17445,5.0
2005,27,9,56000,34611,1.0
1994,12,8,52441,38608,6.0
1997,38,19,85062,27762,14.0
2007,18,9,40580,30433,7.0
2006,13,9,33085,21669,6.0
2001,32,23,88855,28400,4.0
1991,19,9,96081,49906,7.0
2004,5,3,18785,15755,9.0
2006,6,4,246436,13900,5.0
2001,20,10,114770,52475,14.0
2005,20,11,288973,46068,7.0
2005,22,12,53203,27819,2.0
2003,62,22,381481,93341,5.0
2009,35,22,97124,68759,1.0
2000,28,13,415771,57617,1.0
1998,12,6,63963,39654,11.0
2007,15,9,43354,34997,3.0
2008,11,6,25854,11195,5.0
1989,8,3,22300,10709,19.0
2002,13,5,55089,29320,1.0
1986,32,12,527790,88149,4.0
2003,29,11,322553,20241,4.0
2014,4,4,13800,13570,
2004,23,13,94036,44347,11.0
2008,21,13,31300,15584,8.0
2002,44,23,307277,105205,1.0
2006,17,7,253569,42,2.0
2003,14,7,604303,78003,14.0
1998,28,13,168410,25122,6.0
1998,15,13,249000,145985,
1997,36,16,296303,95665,12.0
2004,17,8,216901,32432,0.0
1994,12,5,13217,9799,17.0
1996,39,12,220075,98692,7.0
2013,38,31,205036,37791,4.0
2000,26,15,287820,72529,0.0
2007,21,7,123232,57581,6.0
2007,19,9,73249,34442,11.0
1999,39,14,98559,90416,17.0
2014,8,6,122838,16537,
1995,28,20,117100,53291,
2002,8,7,125809,90942,7.0
2008,9,7,77389,46601,
2005,19,10,71270,39261,
2006,20,9,191066,47940,14.0
1992,32,18,71174,37694,5.0
2000,23,7,28874,2114,10.0
1995,20,5,390874,37792,
1998,41,11,39353,24021,5.0
2003,29,17,459836,117216,1.0
1997,11,9,27100,14056,6.0
2007,20,14,72097,33160,4.0
2000,13,5,55420,38733,
2008,23,16,95775,48638,1.0
1998,33,16,185161,86272,16.0
1983,13,4,406749,12329,23.0
2010,18,10,168002,136103,2.0
1998,28,16,366648,38119,2.0
2010,16,14,32200,10401,4.0
1999,5,3,15600,1364,
2001,33,8,260226,51302,8.0
1988,18,12,360202,82200,
2006,20,10,57628,34805,18.0
1992,31,22,349067,101835,1.0
1997,13,4,11000,3775,8.0
2007,8,7,79622,71415,
1994,23,9,41300,2461,14.0
2006,33,27,109647,75898,0.0
2014,7,7,19345,8243,13.0
2012,11,6,88500,11361,9.0
1984,29,19,374897,48921,5.0
1986,38,17,130869,51510,9.0
2003,27,8,96538,65694,6.0
2007,16,6,105050,16491,1.0
2008,7,7,36280,27636,4.0
1997,31,13,321900,30997,
1993,27,14,531782,81876,1.0
1978,22,12,239781,37064,7.0
2011,15,7,27540,8770,
1998,24,14,33000,6979,7.0
2006,17,11,90000,29504,0.0
2006,21,16,101559,70239,2.0
2000,14,7,64000,0,5.0
1987,30,17,160259,77372,7.0
1995,22,11,92378,45569,0.0
2003,34,18,72470,37589,20.0
2007,8,2,38401,35702,1.0
2003,30,14,513156,35893,10.0
2013,6,5,43376,14488,
2007,8,4,16000,11539,8.0
2004,36,18,101727,22442,3.0
2013,13,12,31167,21577,16.0
2005,8,5,4100,1460,9.0
2004,18,12,269361,46789,6.0
1982,35,19,506779,58807,6.0
2004,24,11,51430,21017,11.0
2001,10,5,30000,15946,10.0
2005,17,9,14200,3702,10.0
2009,12,9,82620,77325,3.0
2000,43,12,264105,214317,1.0
2007,17,10,54900,18790,17.0
1998,30,21,98338,90581,7.0
1998,23,14,599264,147964,6.0
2007,39,21,168890,40632,5.0
2007,14,10,53495,42709,18.0
2003,36,10,440947,97118,5.0
2003,10,5,45665,23724,
1969,35,18,566609,105380,12.0
1996,28,10,96240,83701,4.0
2005,33,12,134300,83037,3.0
2003,31,11,245282,37210,4.0
2002,18,14,427091,39536,3.0
2006,17,13,37273,30394,2.0
1982,48,23,194873,57185,
2005,40,14,127498,16349,14.0
1992,11,10,68800,19857,15.0
1986,27,13,541617,81103,21.0
1997,33,17,95285,37650,6.0
1999,19,10,43400,35479,15.0
1995,29,13,655736,121893,10.0
1991,28,12,79813,50734,7.0
1985,26,12,243108,47123,5.0
2004,35,13,205174,27470,5.0
2009,37,11,80123,50384,0.0
2008,45,10,239313,163262,7.0
2000,26,8,526275,59144,3.0
1999,9,6,83600,3503,5.0
2007,11,5,2900,1220,20.0
2008,13,11,44560,24203,8.0
1976,31,12,53765,26641,15.0
1999,25,17,318564,35342,6.0
2006,10,6,19023,6155,1.0
2010,9,8,27400,2301,4.0
2013,3,3,7400,6174,5.0
1997,26,13,300427,43011,0.0
2006,15,6,41800,4561,17.0
1986,37,22,209236,46828,2.0
2011,8,7,376960,61520,10.0
1994,22,11,324219,49013,3.0
1998,24,10,182460,20570,18.0
1982,28,10,207658,25038,5.0
2011,20,20,79132,75734,10.0
2008,10,4,21664,15558,21.0
2004,23,8,190462,30328,14.0
2002,22,13,300443,40043,10.0
2005,19,7,66747,58091,0.0
1974,22,10,43680,9854,2.0
1998,12,5,337841,6345,
2000,24,5,49968,19694,14.0
1987,8,6,33465,24690,23.0
1995,15,8,36414,20547,4.0
1983,7,4,64964,12447,15.0
2001,26,12,673970,253507,3.0
1994,14,11,43629,26502,19.0
2004,22,16,56150,62410,6.0
2004,9,4,351650,389,0.0
2006,15,10,346008,21479,2.0
2006,44,12,71363,11326,2.0
2012,8,8,30633,26536,
2001,28,11,447224,43133,0.0
1996,18,13,198876,42810,19.0
1990,29,14,314622,67203,8.0
2002,34,10,50967,20742,3.0
1994,19,10,258453,162295,7.0
2003,25,8,279032,55690,3.0
2007,63,38,633688,238418,2.0
1996,24,9,53200,14413,22.0
2013,6,6,37828,12238,12.0
2008,15,10,41049,28534,7.0
2005,18,13,360366,21835,0.0
2002,25,12,109785,35675,9.0
2007,42,22,79515,65800,12.0
2008,26,9,53912,10174,0.0
1985,12,6,6800,3234,13.0
2007,14,11,178693,144836,9.0
2007,17,9,128694,23558,23.0
1984,34,17,378528,117424,1.0
2006,14,7,53561,24583,11.0
2003,11,5,21200,12628,
1995,26,14,213900,58238,18.0
2012,5,4,7000,841,3.0
1995,36,17,231428,214173,1.0
1998,45,17,106801,79437,0.0
2002,13,5,108537,857,9.0
2004,16,13,109693,14344,
1996,13,7,41200,19348,6.0
1987,33,23,272788,43916,6.0
1989,21,9,276606,112029,10.0
1999,46,28,202173,135598,
1996,13,10,217328,60586,14.0
1994,12,3,77870,71219,8.0
1995,28,10,256640,66507,3.0
1999,43,19,496187,84245,
2003,30,16,106401,56157,6.0
2001,26,15,213115,39894,5.0
2006,18,9,248359,45562,1.0
2001,23,13,380182,30014,0.0
1994,21,9,241400,32794,
1984,28,14,795502,75510,3.0
1998,31,9,238075,12146,4.0
2004,24,16,57344,21474,6.0
1998,27,9,84494,71412,12.0
1995,48,20,96247,67146,0.0
1991,12,5,43606,30867,12.0
2012,8,6,57200,25733,
2001,39,13,519231,252708,6.0
2004,24,5,286462,30887,
2004,18,9,27522,17401,3.0
2004,27,7,15600,768,5.0
2003,23,13,69796,50305,5.0
2014,20,19,154069,92720,3.0
1992,19,13,406818,86236,5.0
2012,2,2,6300,2300,0.0
2015,9,7,44062,31396,16.0
1999,8,4,249410,42153,15.0
1997,26,16,265711,53623,9.0
2005,17,9,34471,16106,17.0
2007,12,8,30630,17657,5.0
2010,15,9,91659,41002,15.0
2003,35,16,204219,43001,7.0
2004,20,13,82932,55495,2.0
1996,39,20,331619,64230,8.0
2014,11,8,26369,12811,15.0
2004,13,5,290150,49514,5.0
2012,10,8,177546,8248,23.0
2005,21,9,100933,45223,4.0
2007,14,9,70700,44039,
1984,26,11,394086,54546,1.0
1997,29,9,126928,135100,7.0
1995,28,15,333189,122964,1.0
2004,29,10,43051,25988,11.0
2009,19,12,44529,38961,1.0
2005,16,12,82341,56537,14.0
2003,49,25,322264,138654,5.0
2003,23,15,107363,56328,4.0
2014,8,6,48825,12864,22.0
2002,46,18,197348,93177,9.0
2009,11,11,35721,4498,23.0
2001,36,16,427674,61999,4.0
1972,32,10,333400,21579,
2008,39,22,85141,66587,
2003,23,12,120239,18703,14.0
1999,31,14,270750,68969,11.0
1991,17,11,79216,32701,
2006,23,11,40505,32000,13.0
2001,12,5,22100,20882,
1993,33,12,75090,62056,3.0
1994,19,11,234786,15152,16.0
2002,12,5,11227,5428,17.0
1996,7,5,43000,12090,0.0
2000,28,11,364145,68480,7.0
2010,5,5,18523,11676,4.0
2000,23,10,106477,52823,9.0
2005,19,12,256583,44503,10.0
1997,15,8,26800,8071,1.0
2009,18,13,118301,59821,5.0
1974,45,31,196996,111470,3.0
2009,38,13,82765,55098,0.0
2007,22,10,50324,34535,
2002,31,11,60174,43395,1.0
2005,8,6,57300,32079,
2005,15,13,91211,59802,17.0
1986,33,17,258069,44987,9.0
2001,21,12,466959,50542,
1998,10,6,67100,42912,
2003,15,8,49833,35206,9.0
1989,8,8,16680,5178,5.0
2004,20,12,88743,41532,7.0
2013,22,6,17200,10937,4.0
1994,5,4,24718,19917,3.0
1999,23,8,76253,32931,2.0
2001,17,8,135003,12467,15.0
1994,10,9,56303,36509,11.0
2005,9,4,41334,22722,7.0
2007,31,12,401380,19836,4.0
1999,20,11,50500,5798,13.0
1999,19,10,214923,45979,1.0
2014,24,21,136400,25492,3.0
2010,16,16,103833,55430,13.0
1999,25,13,319800,82624,2.0
1984,33,24,489700,99129,0.0
2009,15,8,172525,4321,1.0
2003,26,15,72903,42822,4.0
2011,13,6,62726,52483,5.0
1985,19,10,143898,14360,6.0
2002,34,12,34200,23542,5.0
2008,16,10,104541,72540,4.0
2002,8,5,12800,7178,
2004,13,5,40236,20854,7.0
2012,9,9,18150,15586,8.0
2001,13,7,97004,85097,19.0
2006,22,13,68456,30568,6.0
2003,36,14,185493,107458,15.0
2002,36,19,435701,84690,5.0
1991,18,13,60200,47334,14.0
1985,18,8,52399,35789,6.0
2004,13,5,251365,43258,17.0
2007,23,8,68589,21457,13.0
2005,58,35,124982,135407,3.0
2006,32,26,108242,90747,6.0
2003,14,7,57045,29717,18.0
1999,21,5,96084,69831,10.0
1998,37,22,293475,48821,2.0
1996,17,15,102067,31220,15.0
2002,33,22,387758,57499,6.0
1989,23,11,271396,48009,4.0
2011,10,5,15400,4503,3.0
2000,51,18,312344,264416,13.0
2010,24,15,76838,78201,
1991,17,8,179700,30329,10.0
2003,26,8,76200,70799,21.0
2004,23,6,48470,30449,15.0
1997,34,10,324652,24577,7.0
1998,13,8,69009,60480,23.0
2005,44,26,187355,169469,0.0
2014,9,7,57162,33499,6.0
2010,10,10,124442,118564,5.0
2009,4,3,42000,23645,5.0
2009,12,9,275007,32606,4.0
2000,18,7,548209,42661,3.0
2010,17,4,16846,12088,1.0
2001,29,14,461620,100251,3.0
2004,30,10,195845,80848,6.0
1997,31,16,82729,49545,13.0
1987,10,8,42348,24644,6.0
2010,19,9,154632,30121,11.0
2014,6,5,224669,15004,14.0
1974,7,1,6500,6420,0.0
2005,20,11,254502,106927,1.0
2009,11,8,205305,5507,12.0
1996,35,21,291230,227477,13.0
2003,31,17,181197,23181,7.0
2008,17,15,404473,44067,12.0
1999,30,16,135468,86207,9.0
2012,15,12,53595,31394,1.0
2004,40,7,474518,65723,4.0
2001,4,2,6500,6460,
2007,9,2,21400,3479,5.0
2005,12,9,19900,5546,
2006,20,8,176455,64451,3.0
2012,20,7,46100,15478,5.0
2006,13,7,57475,40907,19.0
2000,21,10,112353,59772,3.0
2008,7,3,31082,28080,10.0
2003,20,9,260924,23845,9.0
2003,42,20,73554,50831,9.0
2008,5,2,6250,1566,1.0
1986,18,14,50774,14393,18.0
2000,9,7,26675,7312,8.0
2000,37,14,421811,46483,0.0
2014,9,9,18800,5534,11.0
2000,20,10,30795,18837,4.0
2003,22,9,72300,14635,2.0
2001,31,10,110858,87186,9.0
2007,12,5,47422,29655,18.0
2011,21,10,17700,5276,
1993,18,10,122900,7527,6.0
1999,25,10,285908,57734,11.0
1996,37,13,68550,37396,11.0
2005,42,16,179500,124323,8.0
2001,16,7,195174,32843,3.0
2005,14,6,216259,7957,15.0
2005,9,7,41537,16079,6.0
1984,16,11,98174,14566,4.0
2003,33,9,233448,68818,9.0
1985,43,22,154090,66371,2.0
2000,28,18,486240,62775,3.0
2004,23,10,460292,20114,
1998,21,15,28400,15621,2.0
2011,10,8,21400,17007,9.0
2002,9,8,28900,19011,19.0
1999,14,4,36832,18236,7.0
1985,24,13,423289,29845,12.0
1982,18,8,100722,65573,18.0
2007,14,9,34880,17737,0.0
2007,9,7,8500,2068,6.0
2002,34,9,287095,32334,11.0
2014,12,10,109277,2964,3.0
1998,34,15,474197,81424,8.0
1993,32,13,263269,61387,22.0
2007,13,8,159486,32041,0.0
1997,15,8,59240,31856,10.0
2000,24,9,213440,28523,
2007,19,9,264450,26926,13.0
2009,13,12,39000,18919,17.0
1994,16,8,305523,13157,16.0
2007,12,8,16100,8668,4.0
2002,19,11,279831,49092,0.0
1998,27,12,499591,96351,2.0
2005,29,9,59764,29902,5.0
2004,19,12,113941,76824,10.0
1988,39,19,264909,40287,2.0
2006,6,5,5300,117,0.0
2005,13,4,41342,12875,15.0
2004,11,7,397665,37384,1.0
1984,26,18,176888,54196,11.0
1994,26,8,185630,69264,5.0
2006,23,8,73938,59622,11.0
2003,19,12,39900,11061,10.0
2014,11,6,80747,68425,2.0
1992,62,38,93778,16303,0.0
2007,18,10,14032,8964,
2012,9,5,12500,10782,2.0
2005,32,24,112617,70371,1.0
1995,16,5,28781,11931,2.0
2003,26,10,74254,45673,6.0
1977,8,3,31750,25340,6.0
1999,29,15,123279,80391,2.0
2006,10,7,16900,7688,2.0
1994,29,9,89086,57467,8.0
2008,27,10,68845,32550,
1992,29,10,113286,24243,10.0
2002,24,15,63500,42419,10.0
1990,27,9,174179,104716,17.0
2002,42,15,407353,73634,4.0
1991,43,29,88012,51415,2.0
2005,32,28,101185,64074,0.0
2005,14,7,83406,45646,
1999,35,18,321681,31217,2.0
2002,12,11,108144,60877,1.0
2002,41,22,260519,26636,2.0
2008,15,11,382018,30541,6.0
2003,26,14,380438,39906,6.0
2005,23,15,70211,33017,3.0
2010,8,2,16750,11564,5.0
2014,22,18,85911,17063,1.0
1982,25,12,1598627,161087,22.0
1981,15,11,637272,37181,23.0
2001,24,13,394839,73526,9.0
2008,9,8,33899,14894,
1998,20,8,29127,16679,7.0
2003,33,11,256890,76949,1.0
1997,18,4,89418,61003,
2006,8,6,51792,28548,6.0
2006,19,12,49429,27738,1.0
1997,22,14,130606,116429,1.0
2000,34,14,49041,32424,2.0
2000,33,16,328470,55116,1.0
2007,10,4,9200,4720,
1986,21,14,378813,61472,6.0
2000,37,16,281562,207677,9.0
2006,12,8,195279,35575,5.0
2009,14,10,54414,31689,9.0
2000,27,13,686821,82328,11.0
1996,25,14,149929,13269,2.0
1993,32,22,232652,72225,3.0
2011,10,8,42784,22378,6.0
1993,13,3,18200,10938,6.0
1996,9,7,10300,5781,
2000,35,19,299283,65077,8.0
2004,29,18,775274,54831,6.0
2008,20,9,390580,82538,11.0
2006,29,13,131847,69595,8.0
2006,19,10,83276,61726,7.0
2007,36,23,491173,263885,
2011,8,6,87348,9535,13.0
1997,17,9,49180,30630,4.0
2005,7,6,20700,15957,16.0
2006,14,5,58024,16113,19.0
1988,25,15,83819,18667,8.0
2003,68,35,360361,30916,9.0
1998,26,13,433346,141504,8.0
2006,24,12,39490,16240,16.0
2012,12,6,39195,11985,1.0
1999,24,15,99830,94068,8.0
2002,78,34,412549,121863,13.0
1999,10,3,66000,50211,17.0
2012,12,11,23699,11230,4.0
1993,22,9,129317,5750,
1990,54,13,1049446,266631,10.0
2003,19,6,84700,38172,2.0
2000,21,9,51900,33756,
1999,15,9,46500,38826,14.0
2006,4,3,12600,5173,16.0
2004,31,16,333833,136733,6.0
1994,11,5,56833,31165,1.0
1984,20,13,162560,48912,15.0
2003,32,25,82298,43466,
2000,7,6,37700,16835,13.0
1995,31,9,275181,112977,7.0
2014,3,3,7500,4446,
1998,20,11,86022,61119,1.0
2004,18,10,63476,22511,5.0
2006,10,5,51073,35129,12.0
2002,17,6,57074,17920,
2009,11,7,382461,58515,2.0
2011,16,14,314444,23583,12.0
2006,27,9,283647,59178,9.0
1997,16,10,372100,102778,10.0
2003,30,16,467262,63476,8.0
2012,4,3,10700,7659,16.0
1998,9,6,199035,12843,0.0
2003,32,17,400642,73626,1.0
2011,10,10,32900,24367,
2005,32,16,542619,81712,11.0
1978,26,18,50849,33189,
1989,20,11,51795,11635,20.0
2009,13,10,41463,27378,19.0
2003,24,12,69538,42442,4.0
2001,37,18,484700,41941,9.0
1992,40,8,75917,56614,0.0
2001,22,11,102654,125947,14.0
1998,18,9,86376,57302,17.0
2007,25,9,107098,81205,2.0
2002,28,18,341579,56744,12.0
1998,25,11,201416,122698,16.0
2007,19,9,64017,43871,3.0
2000,18,11,27800,5833,4.0
2003,11,5,24425,10089,18.0
2000,15,12,610407,69767,13.0
1999,5,4,31642,13806,5.0
1995,36,17,475575,90204,16.0
2005,3,2,5100,1030,0.0
1995,17,12,43808,9732,0.0
1998,17,12,94605,39663,1.0
2009,5,3,15500,7862,
1992,16,10,89841,41864,18.0
2005,38,24,337181,81639,4.0
1997,29,18,39550,19368,0.0
1999,29,12,208260,59248,6.0
1995,18,12,156579,14735,3.0
1994,36,20,150424,104955,6.0
2002,15,11,112718,13015,20.0
1979,17,8,266755,31307,0.0
2007,17,12,103252,42845,14.0
1988,12,9,98200,39632,
1997,18,9,107363,15565,1.0
2001,8,5,308970,62911,
2008,17,7,234073,50495,2.0
2008,7,4,89188,58185,14.0
2004,14,7,79104,8957,10.0
2004,37,16,64699,37140,10.0
2000,37,10,109675,81948,1.0
1998,35,15,767814,93966,0.0
2002,17,9,22813,11246,10.0
2003,23,8,75570,40535,6.0
1988,37,11,123603,93151,8.0
2000,41,9,239132,62868,2.0
1974,57,28,556875,35459,9.0
1990,30,14,719119,248381,
2004,9,3,46000,20436,
2005,12,6,91706,46478,
1996,22,11,319271,162435,8.0
2004,21,5,45042,31967,3.0
2001,18,12,191864,21920,0.0
2005,39,20,60800,61940,
2007,20,18,86302,75053,16.0
1994,18,16,54374,37851,9.0
2003,20,15,136925,31470,2.0
1996,35,15,312337,73094,0.0
2012,9,9,31960,13169,0.0
1997,22,9,56062,29752,6.0
2010,19,16,31900,7912,5.0
2009,20,9,259535,45056,4.0
2004,34,14,107512,69759,
2003,7,4,10800,1210,11.0
2007,30,10,298780,68952,22.0
2006,10,4,45000,27361,4.0
2003,26,9,267894,43720,12.0
2006,14,9,460600,33577,11.0
2003,59,13,400038,176764,1.0
2014,3,2,6300,2670,9.0
2000,10,4,7500,3579,1.0
1990,15,12,65989,50370,19.0
1996,27,22,262391,149728,1.0
2006,9,5,170179,22898,6.0
2004,19,12,265710,21003,4.0
2007,20,12,52623,34794,8.0
1998,54,30,231043,34334,22.0
2001,28,14,17800,6851,6.0
2005,18,8,46000,16777,10.0
2005,16,10,80251,21869,17.0
1989,46,22,386632,114121,8.0
2006,12,7,19747,4925,18.0
1997,22,16,64458,24387,0.0
1995,14,6,449287,165555,6.0
2007,13,6,57600,32020,17.0
2006,35,17,93332,61662,0.0
2012,4,4,36381,22570,2.0
2004,24,10,593350,139072,7.0
2012,4,4,32890,9531,0.0
2003,16,10,31029,20176,6.0
1989,74,38,339808,57126,2.0
1997,21,11,69004,52106,3.0
2001,31,17,304514,82773,20.0
2001,19,10,363600,8868,0.0
2003,36,5,21652,7825,2.0
2001,30,11,301885,152262,3.0
1997,27,21,284151,52723,0.0
2006,36,26,494221,96393,15.0
2005,8,5,120919,4346,5.0
1985,37,21,209191,58546,7.0
2010,12,7,81067,51753,4.0
1995,14,6,207265,28645,7.0
2005,26,8,27537,12421,9.0
1998,24,14,44100,20639,6.0
1991,9,5,25859,16535,3.0
1999,16,12,76719,60179,
2007,16,14,113921,87362,9.0
1998,21,7,73020,62893,8.0
1998,28,15,122967,70422,
2006,23,5,172667,5660,
2011,17,11,75086,35548,3.0
2006,22,13,107785,27723,0.0
2007,25,16,247430,22713,9.0
2000,35,13,90551,73989,2.0
2003,12,4,60039,47644,23.0
2007,13,8,57775,28472,4.0
2008,12,8,46283,14773,15.0
2005,36,11,448510,127493,1.0
1989,32,5,195635,23908,6.0
2012,22,15,141141,58683,3.0
2004,4,1,500,469,
1996,47,18,592574,308953,2.0
2005,16,6,26000,12218,5.0
2002,29,17,299098,120136,3.0
2011,18,16,68664,55346,4.0
2004,10,5,337987,5720,23.0
1995,18,15,70495,3887,0.0
2009,16,8,390122,46776,9.0
2013,4,3,7800,7587,2.0
2001,16,9,39732,20021,22.0
2004,12,9,54771,53920,7.0
1979,23,13,220804,39047,14.0
2002,15,11,90115,66688,17.0
2005,23,6,114482,100931,5.0
2011,23,21,120794,116815,3.0
2001,27,10,270239,57916,1.0
2004,18,13,203512,19649,16.0
2010,15,10,136545,49392,13.0
2006,32,22,260408,72737,15.0
1984,33,16,101319,56842,17.0
2003,18,13,260297,51091,5.0
1979,12,7,244383,64093,14.0
2002,17,8,287053,47920,6.0
2006,6,5,25355,13100,0.0
1996,13,6,23723,17602,
1994,18,11,319110,58875,3.0
1995,38,14,147461,74448,5.0
2004,33,10,196451,93950,16.0
1990,27,12,180643,157338,4.0
2003,7,6,49800,22205,9.0
2002,12,6,26500,3774,8.0
2007,10,5,70571,47811,1.0
1993,34,15,355336,59056,9.0
2000,18,15,319600,14854,13.0
2007,20,11,219027,30966,15.0
1985,18,9,238701,81032,2.0
2002,16,12,181450,34054,17.0
2009,8,4,48850,2978,20.0
1992,42,26,551667,195735,1.0
2004,18,10,461104,44549,0.0
2010,13,10,229928,16343,22.0
2006,22,10,340617,52682,8.0
1998,26,10,371805,26375,7.0
2003,16,6,14000,8860,2.0
1999,12,7,57060,39314,4.0
2000,8,8,136800,46145,18.0
2001,22,13,279386,28160,
1981,15,6,9000,914,
2013,9,6,299231,84151,4.0
2011,15,12,372413,24474,3.0
2010,17,7,45894,41679,4.0
2008,26,8,86271,55792,10.0
1989,30,18,322148,68317,11.0
2014,9,8,9800,4600,12.0
2009,13,8,34972,22240,
2011,12,5,114149,29831,23.0
2004,26,16,38800,12556,4.0
2005,28,13,99830,28029,11.0
1990,17,6,52646,31685,6.0
2006,8,2,10500,5872,21.0
2006,11,10,69544,45840,
2006,6,3,5400,4479,0.0
2006,32,12,160421,143955,10.0
2003,20,10,110188,28943,8.0
2011,5,3,7800,4445,17.0
2005,12,7,193950,7551,10.0
1995,32,8,132129,20931,
1999,26,13,66837,69973,3.0
2006,35,19,380547,16799,5.0
1996,14,10,47000,24012,
1999,16,7,74725,41541,
2006,38,24,449312,122128,2.0
2000,21,14,329895,26885,3.0
1999,10,8,594367,59440,2.0
1983,11,6,15233,10824,17.0
1985,38,15,440467,92416,1.0
1996,30,11,60586,47104,0.0
2007,14,11,64823,28803,22.0
2001,17,6,41721,13172,7.0
2007,21,12,227878,68804,6.0
2004,42,23,96822,67037,11.0
2001,8,4,62657,37433,11.0
2004,31,15,79982,72589,10.0
