emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
rn,2.0,NC,MORTGAGE,7200,36,12.62
warehouse,10.0,FL,MORTGAGE,35000,60,14.08
,,OR,RENT,4200,36,10.91
operations manager,0.0,OH,RENT,2400,36,17.47
administrative assistant,9.0,TX,MORTGAGE,12800,36,18.06
composite tehnician,4.0,CA,MORTGAGE,8000,36,16.02
pta,0.0,OK,MORTGAGE,30000,36,19.03
service director,1.0,PA,MORTGAGE,7000,36,12.62
it support,8.0,TX,MORTGAGE,25000,36,6.07
senior accounts payable clerk,10.0,FL,MORTGAGE,40000,60,9.43
master driver,10.0,VA,MORTGAGE,24000,60,10.42
teacher,10.0,SD,OWN,5000,36,7.96
physician assistant,10.0,MO,MORTGAGE,40000,60,13.59
credit analyst,2.0,IL,MORTGAGE,15000,60,15.04
rca,5.0,TX,OWN,5000,36,12.61
cabinet maker/installer,8.0,FL,RENT,7000,36,7.96
benefits representative,2.0,AZ,RENT,17450,60,13.58
mechanic,10.0,NY,MORTGAGE,30000,60,16.01
superintendent -customer operations,10.0,NJ,OWN,15000,36,22.91
teller,5.0,IL,RENT,20000,36,7.97
,,MN,RENT,15000,60,18.06
territory manager,3.0,TX,MORTGAGE,12000,36,6.08
sr engineer,10.0,CO,RENT,16500,36,5.32
office manager,10.0,MA,MORTGAGE,19200,36,5.32
petroleum operator ,10.0,NJ,MORTGAGE,7050,36,9.93
owner,10.0,MN,MORTGAGE,15000,60,20.0
project manager,10.0,NY,OWN,11200,36,15.05
driver/crane opeator,5.0,IL,RENT,8000,36,7.96
audit manager,0.0,TX,MORTGAGE,20000,60,26.77
cfo,4.0,TN,MORTGAGE,10800,60,9.44
qa auditor,10.0,NH,MORTGAGE,7200,36,13.59
line cook,1.0,SC,RENT,12000,36,15.04
supervisor of technical trades,2.0,NY,MORTGAGE,20000,36,5.31
crew chief ,2.0,FL,MORTGAGE,7200,36,14.08
owner,2.0,TX,RENT,6000,36,13.59
bus operator ,10.0,TX,RENT,5000,36,7.97
web developer,2.0,FL,RENT,16000,60,9.93
educator,10.0,AL,MORTGAGE,15600,36,6.08
,,WY,RENT,10000,60,21.85
construction manager ,5.0,CA,RENT,10000,36,10.42
education specialist,0.0,PA,MORTGAGE,30000,36,17.47
ceo,4.0,CA,RENT,30000,36,10.9
account administrator,10.0,CO,MORTGAGE,16000,36,6.08
driver,10.0,NY,RENT,20000,36,12.61
,,MO,MORTGAGE,6275,36,23.87
manager,4.0,FL,OWN,15000,36,18.06
school administrator,10.0,MO,MORTGAGE,16000,60,13.59
qc lead,4.0,CA,MORTGAGE,10000,36,16.02
planning supervisor ,10.0,NY,MORTGAGE,25000,36,9.93
pipefitter,1.0,MA,RENT,12000,36,9.92
owner,3.0,TN,RENT,6000,36,7.35
senior engagement lead,10.0,NJ,OWN,12000,36,10.91
attorney,4.0,LA,MORTGAGE,10000,60,13.59
bank teller,0.0,OH,MORTGAGE,20000,36,14.07
field service engineer ,1.0,MA,RENT,8500,36,7.34
automotive service lane manager,10.0,WV,OWN,36000,60,15.05
military officer captain,10.0,GA,RENT,40000,36,6.72
cpa,4.0,CA,MORTGAGE,9000,36,16.01
home equity specialist ,10.0,PA,RENT,7200,36,7.34
general manager,3.0,WI,RENT,6100,36,23.88
,,TX,OWN,2250,36,15.05
accounting supervisor,10.0,IN,OWN,10000,36,6.72
video management,1.0,CA,OWN,25000,36,21.45
claims adjudicator,10.0,OH,MORTGAGE,16000,60,25.82
head of product design,2.0,CA,RENT,32000,60,14.08
project manager,3.0,CA,RENT,12000,36,15.05
sales,10.0,MI,RENT,10000,36,9.44
import booking and pricing rep,2.0,NY,MORTGAGE,2200,36,17.09
receptionist,1.0,IL,RENT,4800,36,16.01
business analysis/csu manager,10.0,GA,MORTGAGE,35000,60,10.9
supervisor,5.0,KS,RENT,35000,36,12.62
,,NY,OWN,10000,60,21.45
clerk,10.0,NY,MORTGAGE,2400,36,10.41
formulation scientist,2.0,OH,RENT,19600,36,5.32
documentation supervisor,3.0,MA,MORTGAGE,26000,60,21.85
director of operations,6.0,MD,MORTGAGE,12000,60,18.06
supply chain manager,0.0,AR,RENT,13000,36,5.32
executive assistant,3.0,NY,RENT,11750,60,17.09
shop foreman,10.0,NY,MORTGAGE,30000,60,9.93
research technician,6.0,MS,RENT,7000,36,6.08
,,AZ,RENT,20000,60,17.09
senior data engineer,4.0,VA,RENT,35000,36,16.01
mechanic/owner,10.0,IL,MORTGAGE,10000,60,13.59
,,TN,OWN,20000,36,9.92
commercial insurance broker,5.0,CA,MORTGAGE,40000,60,15.04
field operations supervisor,2.0,IL,MORTGAGE,12000,36,6.71
server,0.0,OR,RENT,16000,36,17.47
hvac mechanic,7.0,FL,MORTGAGE,10000,36,11.99
engineer assistant ,0.0,CA,RENT,10000,36,13.59
senior quality analyst,9.0,IN,MORTGAGE,15000,36,7.35
production,10.0,MN,MORTGAGE,24000,60,10.42
it director,10.0,CA,MORTGAGE,40000,36,7.97
,,TX,MORTGAGE,25000,60,9.92
sales manager,4.0,NC,MORTGAGE,32175,36,12.61
owner,4.0,MS,MORTGAGE,25000,60,9.93
journeyman union plumber,2.0,NY,RENT,24000,60,14.07
service technician ,5.0,TX,OWN,15000,60,14.08
executive director,1.0,NY,MORTGAGE,36000,60,12.62
management,10.0,OR,RENT,20000,60,16.02
sales,10.0,TX,MORTGAGE,30000,60,14.07
customs specialist,0.0,NY,MORTGAGE,11000,36,18.06
personal banker,2.0,CA,RENT,15000,60,14.08
assistant controller ,2.0,GA,RENT,13500,60,16.02
physical therapist assistant ,3.0,AL,MORTGAGE,10000,60,11.99
office manager/ bookkeeper,10.0,FL,OWN,25000,36,6.72
pilot,10.0,MI,MORTGAGE,25000,60,19.03
service technician ,7.0,CO,OWN,28000,36,6.71
physician extender ,2.0,SC,RENT,10000,36,6.07
yard specialist,3.0,NC,MORTGAGE,10000,36,7.35
,,NC,RENT,10000,36,13.59
bartender,0.0,WA,RENT,2500,36,13.59
lease operator,0.0,LA,OWN,6500,36,5.31
dean of humanities and the arts,9.0,NE,RENT,10000,36,7.97
rn,10.0,CO,MORTGAGE,14500,36,7.35
instructor,6.0,CA,RENT,40000,36,11.99
manager,5.0,FL,RENT,16000,36,16.02
sales,10.0,CA,RENT,14000,36,9.93
finance manager,1.0,FL,RENT,10000,36,19.42
crisis counselor,10.0,KY,MORTGAGE,2400,36,7.96
senior mechanical assembler,3.0,CA,MORTGAGE,17000,36,13.59
maintenance director,8.0,AR,OWN,24000,36,12.61
,,NJ,MORTGAGE,20000,36,19.03
supervisor,10.0,TX,RENT,30000,36,16.01
microbiology labratory security,0.0,CA,OWN,3600,36,6.72
telecommunications analyst,3.0,TX,MORTGAGE,20000,36,6.07
medical secretary ,6.0,NJ,MORTGAGE,8000,36,15.05
financial service specialist,1.0,CA,RENT,16000,36,6.07
consultant,1.0,NC,MORTGAGE,24000,36,13.58
cook / server,5.0,CA,RENT,2000,36,10.42
business analyst ,3.0,NY,RENT,2000,36,11.98
cook,8.0,CA,RENT,6500,36,9.43
setup operator,6.0,SC,RENT,8000,36,16.02
,,AL,RENT,7000,36,18.06
analyst,2.0,VA,RENT,25000,60,12.61
supervisor ,10.0,CA,MORTGAGE,15000,60,14.07
research programmer / analyst,2.0,NC,RENT,35000,36,10.42
rapid prototyping manager,3.0,CA,RENT,26000,36,10.42
warehouse general,10.0,MI,MORTGAGE,12000,60,17.47
pharmacy tech ,2.0,CA,RENT,10000,60,10.91
aviation inspector,10.0,CA,MORTGAGE,15000,36,5.32
realtor / assistant,5.0,NJ,MORTGAGE,14000,60,9.44
paralegal ,10.0,GA,MORTGAGE,15000,36,9.44
accountant,5.0,NY,RENT,10000,36,14.08
cashier,3.0,WA,RENT,5000,36,7.35
owner,10.0,GA,RENT,28125,60,12.62
contract specialist ,10.0,MD,RENT,10000,36,15.04
,,TX,MORTGAGE,10000,60,9.92
chief financial officer,2.0,MA,MORTGAGE,40000,60,10.9
officer of corporation,6.0,CA,RENT,10000,36,6.72
kitchen designer,4.0,ME,OWN,8000,36,5.32
regional manager ,2.0,NY,RENT,35000,60,11.99
executive chef,2.0,CA,MORTGAGE,20000,36,5.32
telecommunications tech ,5.0,FL,OWN,9000,36,10.41
finisher,0.0,VT,RENT,20000,60,14.07
operations manager,10.0,NJ,RENT,3000,36,6.07
grocery clerk,3.0,OR,RENT,8000,36,9.93
mechanic,10.0,TX,OWN,10000,36,11.99
services coordinator,2.0,ME,RENT,5000,36,6.71
,,MA,MORTGAGE,15000,36,5.31
renewal specialist,1.0,IL,RENT,10000,60,13.59
associate medical director,2.0,CT,OWN,40000,36,10.9
,,NE,RENT,3000,36,12.62
junior graphic designer,0.0,OH,RENT,1500,36,10.42
ceo president,10.0,GA,MORTGAGE,28000,36,15.05
graphic designer,7.0,CA,RENT,8000,36,6.71
accounting assistant,5.0,FL,RENT,20000,60,21.45
group creative director,0.0,NY,MORTGAGE,40000,36,9.44
forming operator,4.0,NY,MORTGAGE,11000,36,11.99
large format printing lead,3.0,NY,RENT,3300,36,11.99
,,CA,MORTGAGE,15000,36,6.07
,,UT,OWN,11500,36,5.31
technical sales rep,1.0,FL,OWN,16500,36,6.07
pretreatment technician,10.0,WA,RENT,15000,60,19.42
manager - projects,10.0,NJ,RENT,35000,60,21.85
hydrologist,10.0,MN,MORTGAGE,4400,36,14.08
lieutenant,10.0,MA,MORTGAGE,19000,60,18.06
autocad ,1.0,MI,OWN,3125,36,10.91
office manager,10.0,IL,MORTGAGE,20000,60,9.44
pharmacy technician ,10.0,IL,OWN,20000,60,12.62
dockworker,3.0,PA,OWN,10000,60,9.44
sales,7.0,NC,MORTGAGE,35000,36,6.08
consulting database specialist,10.0,OH,RENT,14000,36,11.98
house officer ,3.0,NY,OWN,16000,36,9.92
vp hr,8.0,KY,MORTGAGE,8000,36,13.59
teacher,10.0,NM,RENT,7000,36,10.41
shade assembler,5.0,IN,MORTGAGE,24000,60,9.93
finance,10.0,AZ,MORTGAGE,10000,36,7.97
carpenter,10.0,NY,RENT,2500,36,19.42
counselor,2.0,MN,MORTGAGE,25000,60,18.45
sales manager,0.0,KY,MORTGAGE,5000,36,6.72
certified peer specialist,5.0,VA,MORTGAGE,9000,36,10.91
,,PA,RENT,5000,36,17.47
medical asst,10.0,MA,RENT,10000,36,10.41
,,NJ,MORTGAGE,1200,36,6.72
production manager,4.0,TX,MORTGAGE,10000,36,9.44
cook,4.0,NY,RENT,6000,36,12.61
maintenance tech,0.0,FL,RENT,2500,36,7.96
cleaner,4.0,NY,OWN,32000,36,10.9
pmo manager,10.0,CA,MORTGAGE,28000,60,21.85
,,TN,RENT,10000,36,7.96
manger/barber,10.0,IL,MORTGAGE,35000,60,9.43
,,CO,MORTGAGE,25000,60,15.04
teacher,10.0,AL,MORTGAGE,15000,60,14.07
auto tech,10.0,WI,MORTGAGE,16000,36,10.9
electronic engineer,8.0,NY,MORTGAGE,20000,36,6.08
interior concept designer,1.0,GA,RENT,10000,36,9.93
machine operator,1.0,MN,RENT,10000,36,12.61
dock worker,10.0,PA,MORTGAGE,15000,60,10.42
assistant,10.0,MD,MORTGAGE,11100,60,30.17
lead driver,10.0,GA,RENT,24000,60,19.42
residential coordinator,1.0,NJ,OWN,1950,36,9.43
,,CA,MORTGAGE,15000,60,17.47
supervisor ,3.0,NJ,RENT,8000,36,7.34
assistant registrar-graduation,10.0,SC,RENT,8500,36,7.96
assistant to internet director,4.0,TX,MORTGAGE,12000,36,13.58
family skill specialist,4.0,CA,OWN,24000,60,9.43
head of shopper engagement,3.0,IL,MORTGAGE,12475,60,21.85
shipping & receiving,2.0,OH,RENT,11500,60,21.85
rn,0.0,CO,RENT,1000,36,22.91
manager,10.0,CA,MORTGAGE,15000,36,12.61
managment,10.0,AK,MORTGAGE,13250,36,9.93
manager,9.0,KY,MORTGAGE,10000,36,6.72
director of operations,3.0,GA,RENT,18000,36,19.42
branch manager ,10.0,CA,MORTGAGE,2400,36,9.92
rural carrier,10.0,MS,MORTGAGE,21700,60,14.07
office administrator,10.0,MI,RENT,36525,36,10.42
regional director,2.0,SC,MORTGAGE,5000,36,7.35
educator,10.0,NM,MORTGAGE,28000,36,6.71
fixed assets manager,10.0,OK,MORTGAGE,35000,36,12.62
manager,10.0,DE,MORTGAGE,40000,60,21.45
,,PA,MORTGAGE,14000,60,16.01
rn,10.0,NJ,MORTGAGE,20000,60,16.02
hub employee,10.0,CA,RENT,7000,36,10.9
technical solutions architecture manager,6.0,NC,MORTGAGE,20000,36,11.99
dentist ,10.0,NY,RENT,40000,36,7.34
social worker,7.0,CA,RENT,10000,36,12.61
service representative,1.0,NY,RENT,8000,36,6.71
delivery merchandiser,10.0,SC,RENT,4000,36,9.43
physician ,0.0,MA,RENT,30000,36,13.59
executive assistant,3.0,CA,RENT,20000,36,6.08
attorney,6.0,CT,MORTGAGE,24000,36,7.96
dietary aide,10.0,MN,RENT,4000,36,7.35
engineer departnent,0.0,CA,RENT,14000,60,10.9
nurse practitioner ,9.0,NC,MORTGAGE,24000,36,6.07
cashier ,0.0,UT,RENT,2800,36,19.03
principal ,10.0,NV,MORTGAGE,32000,60,14.08
manager ,8.0,NY,MORTGAGE,12000,36,10.42
fbc,1.0,NC,MORTGAGE,9600,36,9.44
shipping clerk,10.0,GA,MORTGAGE,9600,36,5.31
claims investigator,3.0,CA,RENT,3500,36,7.97
executive customer service,10.0,FL,MORTGAGE,8000,36,5.32
engineering supervisor,10.0,IL,MORTGAGE,12000,36,10.91
administrator,10.0,TX,MORTGAGE,32400,36,10.91
,,FL,MORTGAGE,3600,36,19.03
legal assistant,10.0,FL,RENT,15000,60,12.61
registered nurse,0.0,MO,MORTGAGE,8300,36,13.59
deputy sheriff,10.0,MA,MORTGAGE,25600,36,5.32
project manager,10.0,CO,RENT,20000,60,13.58
lead software architect,2.0,NH,MORTGAGE,27900,60,16.01
sales,10.0,PA,MORTGAGE,4000,36,7.35
ir technologist ,10.0,VT,MORTGAGE,1000,36,9.92
engineer tech,6.0,MI,MORTGAGE,24000,60,9.43
owner/operator,10.0,AZ,MORTGAGE,40000,36,7.35
manager,6.0,IN,MORTGAGE,22000,36,9.43
sales,10.0,WA,RENT,6400,36,9.44
carpenter,10.0,MA,RENT,12000,36,17.09
sales manger,1.0,CA,MORTGAGE,30000,36,18.06
claims examiner ii,1.0,CA,OWN,12000,60,21.85
patternmaker / designer,6.0,CA,RENT,20000,36,6.72
senior chemist,4.0,NJ,MORTGAGE,24000,36,9.43
civil engineering tech,2.0,MN,MORTGAGE,38400,60,10.42
operations manager,9.0,GA,MORTGAGE,10000,60,15.04
owner operator,4.0,CA,RENT,30000,36,18.06
district technology support analyst,10.0,CA,RENT,9000,36,15.04
sr rest engineer ,3.0,UT,RENT,28000,36,13.59
owner,10.0,VA,MORTGAGE,29000,60,7.35
chef,0.0,TX,RENT,5000,36,15.05
receptionist,1.0,WA,RENT,26000,60,26.77
manager,10.0,TX,MORTGAGE,25000,36,7.35
manager,10.0,NJ,OWN,25000,36,11.98
office manager,1.0,OR,RENT,14000,36,13.59
patient care coordinator,9.0,VA,RENT,6000,36,11.98
sergeant,7.0,NY,RENT,12000,36,7.35
personal asst ,10.0,IL,MORTGAGE,20000,36,9.92
stylist/owner,8.0,NY,RENT,10000,36,14.08
registered nurse,7.0,FL,MORTGAGE,10000,60,9.93
executive assistant,1.0,CA,RENT,5000,36,17.47
territory manager,5.0,AZ,MORTGAGE,10000,36,9.43
welder/fabricator,8.0,GA,OWN,10000,36,7.97
solutions manager,1.0,MI,OWN,15000,60,9.43
health technician,2.0,CA,RENT,17000,36,14.08
,,MD,MORTGAGE,19475,36,7.97
hr analyst,0.0,FL,RENT,10000,36,14.07
editor,10.0,OH,MORTGAGE,8000,36,9.93
account manager,1.0,IN,RENT,10000,36,10.42
loan analyst,3.0,MI,RENT,16000,60,25.82
senior research project manager,10.0,MA,MORTGAGE,14000,60,25.82
senior dba,3.0,IL,MORTGAGE,11300,36,7.35
paralegal,10.0,TN,MORTGAGE,15000,60,15.05
pr representative,1.0,AK,RENT,10000,36,7.96
teacher,10.0,AL,OWN,25000,36,13.58
,,OH,MORTGAGE,15000,60,16.01
truck driver,9.0,IN,MORTGAGE,19200,36,7.34
manager ii,10.0,CA,MORTGAGE,14000,36,6.08
hr data tech,1.0,CO,RENT,13000,36,12.61
department mananger,10.0,AL,MORTGAGE,28000,60,16.02
supervisory auditor,10.0,GA,MORTGAGE,26000,60,11.99
research specialist,5.0,NE,RENT,7000,36,6.08
firefighter,1.0,CT,RENT,25000,60,30.79
book keeper,10.0,WA,OWN,20000,36,16.02
direct support,2.0,NY,RENT,20000,60,12.61
business systems analyst,0.0,FL,MORTGAGE,12000,36,12.61
teacher,2.0,NJ,RENT,8650,36,14.08
business development associate,5.0,FL,RENT,7500,36,17.09
owner,10.0,FL,MORTGAGE,21000,36,7.96
owner,9.0,FL,OWN,12000,36,10.42
compliance manager,7.0,GA,OWN,10000,36,7.34
"inventory specialist, purchasing",10.0,AZ,MORTGAGE,25000,60,9.92
,,MI,OWN,8500,36,6.72
legal advisor,3.0,VA,RENT,18000,36,10.42
disclosure specialists ,0.0,CA,RENT,18000,60,6.71
sr program manager,10.0,FL,RENT,9500,36,16.01
accountant ,0.0,CO,MORTGAGE,20000,36,14.08
marketing,1.0,NY,RENT,10000,36,10.9
beauty stylist,4.0,IN,MORTGAGE,30000,36,5.31
transportation/ cdl driver,5.0,MA,RENT,28000,60,17.47
security officer,10.0,NJ,MORTGAGE,25000,36,9.93
warranty administrator,8.0,NY,MORTGAGE,30000,36,9.43
financial clerk,6.0,NY,RENT,40000,60,14.08
,,MD,RENT,8000,36,7.97
safety monitor,2.0,AZ,RENT,12000,36,7.35
civil engineer,1.0,MS,RENT,12000,60,15.05
roofer,10.0,AL,RENT,8000,36,14.07
general manager,8.0,NC,MORTGAGE,10000,36,11.99
enterprise account executive,1.0,MN,RENT,6650,36,5.31
painter,7.0,TX,MORTGAGE,10000,36,5.32
program support clerk,3.0,FL,RENT,5200,36,11.99
community development manger,3.0,CA,RENT,15525,60,15.04
installer,10.0,CA,MORTGAGE,6000,36,6.72
teller,9.0,NY,RENT,5000,36,7.97
laborer,2.0,CT,MORTGAGE,3500,36,5.32
,,IL,MORTGAGE,15000,36,22.91
driver,10.0,CA,RENT,21625,60,10.91
hr,5.0,GA,MORTGAGE,11200,36,15.05
professor,10.0,CA,MORTGAGE,40000,36,7.35
vicepresident,10.0,CA,MORTGAGE,10000,36,11.99
,,CA,RENT,36000,36,9.93
painter,4.0,NY,RENT,17000,60,20.0
office manager,1.0,GA,MORTGAGE,9000,36,13.59
systems engineer,10.0,MD,RENT,28000,60,26.77
,,NJ,RENT,15000,60,16.01
survey designer,5.0,VA,RENT,7000,36,5.31
medical biller,10.0,NJ,MORTGAGE,20000,60,21.85
teller,0.0,MI,RENT,1000,36,11.99
registered professional land surveyor,4.0,TX,MORTGAGE,7000,36,6.08
office manager,4.0,CA,RENT,5000,36,19.03
registered nurse,8.0,IL,MORTGAGE,30000,36,7.35
sheriff deputy,10.0,MN,MORTGAGE,6000,36,7.96
instructor,10.0,TN,OWN,20000,36,20.39
,,UT,OWN,20000,60,15.05
parts specialist,10.0,WA,MORTGAGE,12000,36,7.96
humans resources ,4.0,IL,RENT,5000,36,5.32
rehabilitation counselor ,3.0,AL,RENT,15000,36,14.08
purchasing,10.0,IL,RENT,15000,36,18.45
bartender,10.0,FL,OWN,5000,36,6.72
teacher ,10.0,NJ,RENT,13000,60,17.09
,,LA,OWN,17975,36,10.9
insurance verification coordinator ,9.0,MI,RENT,28275,60,13.58
qa analyst,10.0,CA,MORTGAGE,11000,60,14.08
program coordinator ,10.0,IL,MORTGAGE,25000,60,6.72
iss rep,0.0,MI,OWN,3300,36,9.43
teacher ,2.0,TX,RENT,30000,60,11.99
software development engineer in test,1.0,TX,RENT,7200,36,11.98
program manager,10.0,MT,MORTGAGE,30000,60,10.42
set designer,5.0,NY,RENT,25000,36,11.98
senior teller,4.0,ME,RENT,20000,60,7.96
sales,10.0,OR,MORTGAGE,4000,36,9.93
superintendent ,8.0,CA,RENT,40000,36,9.43
assistant principal,0.0,GA,RENT,40000,36,10.41
service expert ,0.0,MD,RENT,13000,36,7.34
manager,1.0,PA,RENT,15000,36,14.07
user access manager,0.0,CA,RENT,27000,60,10.42
technology coordinator,9.0,LA,MORTGAGE,13000,36,7.97
truck driver,4.0,CA,MORTGAGE,15000,60,21.45
extruder,0.0,MN,RENT,3000,36,21.45
sales,3.0,CA,MORTGAGE,21600,60,26.77
auto damage appraiser,10.0,AL,MORTGAGE,35000,60,20.39
"sr, examiner",10.0,NY,RENT,2500,36,10.42
retail sales,10.0,LA,RENT,4000,36,17.47
account supporr,6.0,WI,MORTGAGE,10000,60,7.34
lead teller,4.0,IL,RENT,6400,36,7.35
,,CA,RENT,6900,36,17.09
administrator,10.0,TX,MORTGAGE,6000,36,13.59
union carpenter,3.0,NV,MORTGAGE,3000,36,6.07
professor,10.0,LA,OWN,10000,36,9.93
administrative associate,10.0,CT,MORTGAGE,12000,36,9.44
medical billing ,10.0,WA,MORTGAGE,16000,36,11.99
registrar,1.0,SC,RENT,30000,60,25.82
office manager ,1.0,CA,RENT,10800,60,19.03
executive director,5.0,CO,RENT,12000,36,10.41
deli steward,1.0,OR,RENT,6000,36,12.61
software developer,5.0,NC,MORTGAGE,6500,36,6.71
rx lab tecg,5.0,FL,RENT,6000,36,10.42
,,AZ,RENT,7500,36,18.06
ptl,5.0,NY,RENT,10000,36,6.08
copywriter,2.0,NJ,RENT,27500,36,7.97
maintenance technician,5.0,IL,MORTGAGE,25875,60,24.85
sales consultant ,2.0,CO,RENT,6000,36,15.04
executive director ,3.0,FL,MORTGAGE,40000,60,21.45
customer service manager,6.0,WI,RENT,2500,36,17.09
installer,1.0,MI,RENT,7000,36,20.0
district manager,3.0,CA,RENT,8000,36,9.44
depart head ,2.0,AR,OWN,12000,60,15.04
sr culinary manager,10.0,MD,MORTGAGE,15000,60,20.39
laborer,0.0,CA,RENT,4000,36,7.97
asmt,10.0,FL,RENT,6500,36,11.98
president,8.0,NJ,OWN,40000,36,6.07
document control specialist,2.0,AZ,MORTGAGE,32000,60,21.45
painter ,10.0,NC,RENT,10000,36,9.44
designer,2.0,FL,RENT,15000,36,9.43
,,IL,MORTGAGE,12000,60,21.85
sales,10.0,FL,MORTGAGE,24000,60,11.99
owner,6.0,CO,RENT,15000,60,10.42
patient financial services,2.0,CA,RENT,15000,36,13.59
master inspecter,10.0,IN,MORTGAGE,10000,36,7.35
merchandise and lnventory leader,9.0,CA,RENT,8000,36,6.71
owner,5.0,CT,MORTGAGE,6300,36,9.44
computer repair consultant,10.0,AR,MORTGAGE,4500,36,6.72
registered nurse,10.0,AK,MORTGAGE,30000,36,7.97
sales representative,1.0,AZ,RENT,12000,60,15.05
director of financial services,8.0,PA,MORTGAGE,16000,36,6.72
partner,2.0,TN,OWN,24000,36,5.32
practice manager,10.0,FL,OWN,15000,36,17.47
feeder,9.0,IN,MORTGAGE,15000,36,15.05
manager,10.0,OH,OWN,14000,36,10.91
assistant general manager,1.0,NY,RENT,35000,60,21.45
clinical coordinator ,10.0,GA,MORTGAGE,12000,36,5.32
vp aquisitions,10.0,CA,MORTGAGE,35000,36,12.62
line lead,10.0,PA,MORTGAGE,10000,36,12.61
plumber,1.0,NY,RENT,5000,36,10.91
officer,10.0,TN,MORTGAGE,36500,36,5.32
supervisor,7.0,IN,MORTGAGE,4800,36,7.96
receptionist,3.0,SC,MORTGAGE,25000,36,11.99
