emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
contract specialist ,10.0,MD,RENT,119568.0,Verified,22.04,,,,0,,2006,1,21,16,101559,70239,0,0,,0,0,4,7,2.0,16,0.0,0,5,9400,14,12,11,0,100.0,0,0,debt_consolidation,individual,10000,36,15.04,346.85,C,C4,Mar-2018,Current,whole,Cash,9327.09,1023.84,672.91,350.93,0.0
chief financial officer,2.0,MA,MORTGAGE,151000.0,Verified,15.81,,,,0,28.0,1987,3,30,17,160259,77372,0,0,28.0,0,0,3,13,7.0,17,0.0,0,4,64400,18,14,6,4,86.7,0,0,home_improvement,individual,40000,60,10.9,867.71,B,B4,Mar-2018,Current,whole,Cash,38473.08,2578.91,1526.92,1051.99,0.0
executive chef,2.0,CA,MORTGAGE,200000.0,Source Verified,10.67,,,,0,,2003,1,30,14,513156,35893,0,0,,0,0,3,2,10.0,14,0.0,0,3,104100,18,8,3,2,100.0,0,0,debt_consolidation,individual,20000,36,5.32,602.3,A,A1,Feb-2018,Current,whole,Cash,17931.76,2394.42,2068.24,326.18,0.0
,,MA,MORTGAGE,145000.0,Not Verified,16.57,,,,0,33.0,1982,2,35,19,506779,58807,0,0,,0,0,2,2,6.0,19,0.0,0,9,95600,21,15,10,3,91.4,0,0,debt_consolidation,individual,15000,36,5.31,451.66,A,A1,Feb-2018,Current,whole,Cash,13839.02,1350.56,1160.98,189.58,0.0
ceo president,10.0,GA,MORTGAGE,196000.0,Not Verified,24.38,,,,0,,2000,4,43,12,264105,214317,0,0,,0,103,3,4,1.0,12,0.0,0,7,40000,11,8,7,3,100.0,0,0,credit_card,individual,28000,36,15.05,971.32,C,C4,Feb-2018,Current,whole,Cash,25472.33,3861.87,2527.67,1334.2,0.0
group creative director,0.0,NY,MORTGAGE,275000.0,Source Verified,11.12,,,,0,,1998,3,23,14,599264,147964,0,0,,0,0,0,3,6.0,14,0.0,0,7,103100,19,12,9,3,100.0,0,0,debt_consolidation,individual,40000,36,9.44,1280.2,B,B1,Mar-2018,Current,whole,DirectPay,37080.55,3935.0,2919.45,1015.55,0.0
,,CA,MORTGAGE,130000.0,Not Verified,14.43,,,,0,,2003,1,36,10,440947,97118,0,0,,0,0,1,5,5.0,10,0.0,0,4,72800,13,8,4,7,100.0,0,0,medical,individual,15000,36,6.07,456.81,A,A2,Mar-2018,Current,whole,Cash,13851.4,1365.37,1148.6,216.77,0.0
technical sales rep,1.0,FL,OWN,150000.0,Source Verified,33.23,,,,1,10.0,1969,2,35,18,566609,105380,0,0,,0,0,4,7,12.0,17,0.0,0,4,63000,15,11,8,6,97.1,0,0,credit_card,individual,16500,36,6.07,502.49,A,A2,Mar-2018,Current,fractional,DirectPay,15236.55,1501.91,1263.45,238.46,0.0
manager - projects,10.0,NJ,RENT,105000.0,Verified,14.37,,,,0,,2005,1,33,12,134300,83037,0,0,,0,0,1,6,3.0,12,0.0,0,6,100600,19,11,7,0,100.0,0,0,major_purchase,individual,35000,60,21.85,963.68,D,D5,Mar-2018,Current,whole,Cash,34002.9,2848.55,997.1,1851.45,0.0
sales,7.0,NC,MORTGAGE,350000.0,Verified,6.21,,,,0,,1986,0,27,13,541617,81103,0,0,,0,0,1,4,21.0,13,0.0,0,7,81100,14,9,8,4,100.0,0,0,debt_consolidation,individual,35000,36,6.08,1066.04,A,A2,Feb-2018,Current,whole,Cash,31418.07,4252.34,3581.93,670.41,0.0
vp hr,8.0,KY,MORTGAGE,275000.0,Source Verified,19.2,,,,0,25.0,1995,1,29,13,655736,121893,0,0,,0,0,5,4,10.0,13,0.0,0,3,52500,10,6,4,10,93.1,0,0,debt_consolidation,individual,8000,36,13.59,271.84,C,C2,Feb-2018,Current,whole,Cash,7262.63,1072.26,737.37,334.89,0.0
sales manager,0.0,KY,MORTGAGE,170000.0,Not Verified,7.2,,,,0,,2000,3,26,8,526275,59144,0,0,,0,0,2,5,3.0,8,0.0,0,5,50700,13,5,5,6,100.0,0,0,home_improvement,individual,5000,36,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4364.17,765.02,635.83,129.19,0.0
manger/barber,10.0,IL,MORTGAGE,108000.0,Verified,21.08,,,,0,,1986,3,37,22,209236,46828,0,0,,0,0,2,4,2.0,22,0.0,0,14,91700,29,19,16,2,100.0,0,0,debt_consolidation,individual,35000,60,9.43,733.87,B,B1,Mar-2018,Current,whole,Cash,33612.67,2183.27,1387.33,795.94,0.0
electronic engineer,8.0,NY,MORTGAGE,109000.0,Not Verified,13.82,,,,1,22.0,1982,2,28,10,207658,25038,0,0,44.0,0,0,2,1,5.0,10,0.0,0,2,27900,16,7,3,3,64.3,0,0,debt_consolidation,individual,20000,36,6.08,609.17,A,A2,Feb-2018,Current,whole,Cash,17953.16,2429.92,2046.84,383.08,0.0
head of shopper engagement,3.0,IL,MORTGAGE,245000.0,Verified,36.25,,,,0,,2001,1,26,12,673970,253507,0,1,,0,0,6,3,3.0,12,0.0,0,2,58000,6,2,2,3,100.0,1,0,debt_consolidation,individual,12475,60,21.85,343.49,D,D5,Mar-2018,Current,whole,Cash,12120.3,1015.33,354.7,660.63,0.0
educator,10.0,NM,MORTGAGE,138000.0,Not Verified,27.51,,,,1,20.0,1994,2,19,10,258453,162295,0,0,,0,0,7,2,7.0,10,0.0,0,0,0,8,3,2,0,89.5,0,0,debt_consolidation,individual,28000,36,6.71,860.86,A,A3,Mar-2018,Current,whole,Cash,25875.28,2561.7,2124.72,436.98,0.0
technical solutions architecture manager,6.0,NC,MORTGAGE,115000.0,Source Verified,9.11,,,,1,3.0,2005,3,18,13,360366,21835,0,0,24.0,0,0,0,3,0.0,13,0.0,0,4,31200,14,11,5,2,77.8,0,0,debt_consolidation,individual,20000,36,11.99,664.2,B,B5,Jan-2018,Current,whole,Cash,17631.3,3307.68,2368.7,938.98,0.0
dentist ,10.0,NY,RENT,250000.0,Source Verified,5.44,,,,0,30.0,2002,3,25,12,109785,35675,0,0,,0,0,1,4,9.0,12,0.0,0,2,58500,12,9,4,0,100.0,0,0,credit_card,individual,40000,36,7.34,1241.32,A,A4,Mar-2018,Current,whole,Cash,38000.6,2466.33,1999.4,466.93,0.0
executive assistant,3.0,CA,RENT,109000.0,Not Verified,17.68,,,,0,41.0,2007,0,17,9,128694,23558,0,0,,0,0,2,2,23.0,9,0.0,0,1,49800,8,5,1,4,94.1,0,0,debt_consolidation,individual,20000,36,6.08,609.17,A,A2,Jan-2018,Current,whole,Cash,14358.08,6078.19,5641.92,436.27,0.0
attorney,6.0,CT,MORTGAGE,220000.0,Source Verified,18.01,,,,0,28.0,1984,3,34,17,378528,117424,0,0,41.0,0,0,5,8,1.0,17,0.0,0,1,23600,16,9,2,2,76.5,0,0,home_improvement,individual,24000,36,7.96,751.63,A,A5,Mar-2018,Current,whole,Cash,22210.89,2233.66,1789.11,444.55,0.0
principal ,10.0,NV,MORTGAGE,240000.0,Source Verified,9.49,,,,0,,1995,1,36,17,231428,214173,0,0,,0,0,1,6,1.0,17,0.0,0,5,59300,20,16,9,2,100.0,0,0,debt_consolidation,individual,32000,60,14.08,745.92,C,C3,Feb-2018,Current,whole,Cash,30491.9,2958.65,1508.1,1450.55,0.0
engineering supervisor,10.0,IL,MORTGAGE,110000.0,Verified,31.18,,,,0,25.0,1989,1,21,9,276606,112029,0,0,,0,0,3,2,10.0,9,,0,2,31950,7,4,4,6,95.0,0,0,debt_consolidation,individual,12000,36,10.91,392.36,B,B4,Jan-2018,Current,fractional,Cash,10557.7,1987.26,1442.3,544.96,0.0
deputy sheriff,10.0,MA,MORTGAGE,140000.0,Source Verified,20.57,,,,0,,1999,0,43,19,496187,84245,0,0,,0,0,2,3,,19,0.0,0,7,47600,27,14,11,6,100.0,0,0,debt_consolidation,individual,25600,36,5.32,770.94,A,A1,Jan-2018,Current,whole,Cash,22283.49,3847.13,3316.51,530.62,0.0
lead software architect,2.0,NH,MORTGAGE,180000.0,Not Verified,9.92,,,,0,30.0,2001,2,26,15,213115,39894,0,0,30.0,0,517,4,3,5.0,15,0.0,0,5,13600,14,10,8,2,72.0,0,0,debt_consolidation,individual,27900,60,16.01,678.63,C,C5,Feb-2018,Current,whole,Cash,26649.66,2689.7,1250.34,1439.36,0.0
owner/operator,10.0,AZ,MORTGAGE,156000.0,Verified,13.22,,,,0,,1984,3,28,14,795502,75510,0,0,,0,0,1,5,3.0,14,0.0,0,6,114100,16,11,10,6,100.0,0,0,credit_card,individual,40000,36,7.35,1241.5,A,A4,Feb-2018,Current,whole,Cash,35977.23,4949.67,4022.77,926.9,0.0
sales,10.0,WA,RENT,125000.0,Not Verified,5.65,,,,0,64.0,2004,3,24,16,57344,21474,0,1,64.0,0,84,1,6,6.0,16,0.0,0,6,23600,19,15,11,1,91.3,0,1,debt_consolidation,individual,6400,36,9.44,204.84,B,B1,Feb-2018,Current,whole,Cash,5774.69,829.44,625.31,204.13,0.0
senior chemist,4.0,NJ,MORTGAGE,139500.0,Source Verified,21.22,,,,0,55.0,2001,3,39,13,519231,252708,0,0,57.0,0,0,6,4,6.0,13,0.0,0,2,62000,11,6,2,3,66.7,0,0,debt_consolidation,individual,24000,36,9.43,768.01,B,B1,Feb-2018,Current,whole,Cash,21654.89,2991.99,2345.11,646.88,0.0
district technology support analyst,10.0,CA,RENT,113000.0,Source Verified,12.86,,,,0,31.0,2003,4,23,13,69796,50305,0,0,60.0,0,0,2,8,5.0,13,0.0,0,5,17700,17,11,6,2,87.0,0,0,debt_consolidation,individual,9000,36,15.04,312.17,C,C4,Mar-2018,Current,fractional,Cash,8394.36,876.35,605.64,270.71,0.0
sr rest engineer ,3.0,UT,RENT,104000.0,Verified,33.84,,,,0,,2014,3,20,19,154069,92720,0,0,,0,0,4,12,3.0,19,,0,12,63600,15,15,7,0,100.0,0,0,debt_consolidation,individual,28000,36,13.59,951.41,C,C2,Feb-2018,Current,whole,Cash,26075.44,2833.09,1924.56,908.53,0.0
manager,10.0,TX,MORTGAGE,120000.0,Verified,7.81,198000.0,Verified,15.15,0,36.0,1999,0,8,4,249410,42153,0,0,39.0,0,0,1,1,15.0,4,0.0,0,0,3000,3,2,0,3,75.0,0,0,debt_consolidation,joint,25000,36,7.35,775.94,A,A4,Jan-2018,Current,whole,Cash,21847.54,3859.28,3152.46,706.82,0.0
personal asst ,10.0,IL,MORTGAGE,110000.0,Not Verified,13.6,,,,0,,2003,4,35,16,204219,43001,0,0,,0,0,0,3,7.0,16,0.0,0,10,51100,25,15,15,3,97.1,0,0,credit_card,individual,20000,36,9.92,644.6,B,B2,Mar-2018,Current,whole,Cash,18346.12,2122.78,1653.88,468.9,0.0
territory manager,5.0,AZ,MORTGAGE,105000.0,Source Verified,16.55,,,,0,24.0,2004,2,13,5,290150,49514,0,0,,0,340,3,2,5.0,5,0.0,0,1,8700,4,1,1,1,76.9,0,0,home_improvement,individual,10000,36,9.43,320.01,B,B1,Mar-2018,Current,whole,Cash,9270.01,949.55,729.99,219.56,0.0
senior dba,3.0,IL,MORTGAGE,118000.0,Not Verified,19.71,,,,1,14.0,2003,2,49,25,322264,138654,0,0,,0,0,7,7,5.0,25,0.0,0,10,48900,22,17,15,1,97.9,0,0,debt_consolidation,individual,11300,36,7.35,350.73,A,A4,Feb-2018,Current,fractional,Cash,10163.54,1398.31,1136.46,261.85,0.0
manager ii,10.0,CA,MORTGAGE,130000.0,Not Verified,9.53,,,,0,,1972,0,32,10,333400,21579,0,0,,0,0,1,1,,10,0.0,0,1,46900,18,7,1,6,100.0,0,0,other,individual,14000,36,6.08,426.42,A,A2,Jan-2018,Fully Paid,fractional,Cash,0.0,14218.6140542361,14000.0,218.61,0.0
supervisory auditor,10.0,GA,MORTGAGE,114000.0,Not Verified,18.57,,,,0,,1999,1,31,14,270750,68969,0,0,,0,0,3,3,11.0,14,0.0,0,4,72200,20,10,6,3,100.0,0,0,debt_consolidation,individual,26000,60,11.99,578.23,B,B5,Feb-2018,Current,fractional,Cash,24706.99,2278.28,1293.01,985.27,0.0
business systems analyst,0.0,FL,MORTGAGE,120000.0,Not Verified,14.24,,,,0,36.0,1994,0,19,11,234786,15152,0,0,,0,639,2,4,16.0,11,0.0,0,5,11800,12,8,5,1,73.7,0,0,debt_consolidation,individual,12000,36,12.61,402.08,C,C1,Mar-2018,Current,whole,Cash,11163.33,1197.83,836.67,361.16,0.0
