country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cape Verde,CPV,2600,2700,2800,2900,3000,3000,3100,3200,3200,3200,3300,3300
Costa Rica,CRI,4500,5000,5500,6000,6500,6900,7300,7700,8100,8400,8700,8800
Cuba,CUB,3100,3600,4100,4700,5400,6200,7100,8100,9300,11000,12000,14000
Czech Republic,CZE,1300,1400,1500,1600,1600,1700,1800,1800,1900,2000,2000,2100
Germany,DEU,42000,44000,47000,49000,52000,56000,59000,62000,65000,68000,71000,73000
Djibouti,DJI,12000,12000,12000,12000,11000,11000,11000,10000,10000,9700,9400,9200
Dominican Republic,DOM,51000,52000,52000,51000,50000,49000,48000,47000,46000,45000,45000,44000
Ecuador,ECU,30000,32000,33000,34000,34000,35000,35000,35000,34000,34000,35000,35000
Egypt,EGY,8400,9100,9300,9100,8800,8400,8100,8000,8000,8300,8800,9500
Eritrea,ERI,22000,23000,24000,24000,24000,24000,24000,24000,24000,23000,23000,23000
Spain,ESP,120000,120000,120000,130000,130000,130000,130000,140000,140000,140000,150000,150000
Estonia,EST,3600,4700,5700,6700,7500,8100,8600,9000,9300,9500,9700,9900
Ethiopia,ETH,1300000,1300000,1300000,1200000,1200000,1100000,1100000,990000,930000,870000,830000,790000
Finland,FIN,1600,1700,1800,2000,2100,2200,2300,2400,2600,2700,2800,2900
Fiji,FJI,60,60,60,60,60,60,160,160,160,160,350,350
France,FRA,120000,120000,120000,130000,130000,130000,140000,140000,150000,150000,160000,160000
Gabon,GAB,32000,35000,38000,39000,41000,42000,43000,44000,45000,45000,46000,46000
United Kingdom,GBR,42000,46000,54000,58000,64000,70000,76000,81000,86000,89000,91000,94000
Georgia,GEO,600,1100,1300,1500,1800,2000,2400,2800,3200,3700,4300,4900
Ghana,GHA,240000,250000,250000,260000,260000,250000,250000,250000,240000,240000,230000,230000
Guinea,GIN,69000,72000,75000,77000,78000,80000,81000,82000,83000,83000,84000,85000
Gambia,GMB,4800,5700,6700,7700,8800,9800,11000,11000,12000,13000,13000,14000
Guinea-Bissau,GNB,8600,9800,11000,12000,14000,15000,16000,17000,19000,20000,22000,24000
Equatorial Guinea,GNQ,7000,7900,8800,9800,11000,12000,13000,14000,16000,17000,18000,20000
Greece,GRC,8100,8500,8800,9100,9300,9500,9700,9900,10000,10000,11000,11000
Guatemala,GTM,26000,28000,29000,31000,34000,36000,39000,43000,47000,52000,58000,65000
Guyana,GUY,8900,8900,8700,8500,8100,7800,7400,7200,6900,6600,6400,6200
Honduras,HND,69000,64000,59000,55000,50000,47000,44000,41000,38000,36000,34000,33000
Croatia,HRV,600,600,600,600,600,600,600,600,1000,1100,1100,1200
Haiti,HTI,130000,130000,130000,130000,120000,120000,120000,120000,120000,120000,120000,120000
Hungary,HUN,3400,3400,3400,3400,3400,3500,3500,3600,3700,3800,4000,4100
Indonesia,IDN,6100,12000,26000,57000,1.00E+05,140000,180000,220000,260000,3.00E+05,340000,380000
India,IND,2400000,2500000,2600000,2600000,2600000,2580000,2540000,2490000,2440000,2400000,NA,NA
Ireland,IRL,4400,4800,5100,5500,5800,6100,6400,6700,7000,7300,7600,7800
Iran,IRN,51000,56000,61000,66000,71000,75000,78000,82000,85000,89000,93000,96000
Iceland,ISL,350,350,350,350,350,350,350,350,350,350,600,600
Israel,ISR,5200,5500,5800,6100,6400,6700,7000,7400,7700,8000,8200,8500
Italy,ITA,130000,130000,130000,130000,130000,140000,140000,140000,140000,150000,150000,150000
Jamaica,JAM,37000,36000,35000,35000,34000,33000,32000,31000,31000,30000,30000,30000
Japan,JPN,6100,6200,6300,6400,6600,6800,7000,7100,7400,7500,7700,7900
Kazakhstan,KAZ,8200,9200,9900,11000,11000,12000,13000,14000,15000,16000,18000,19000
Kenya,KEN,1600000,1600000,1600000,1600000,1500000,1500000,1500000,1500000,1500000,1600000,1600000,1600000
Kyrgyz Republic,KGZ,350,600,600,1200,1700,2400,3200,4300,5700,7500,9600,12000
Cambodia,KHM,87000,85000,82000,79000,75000,71000,69000,67000,66000,65000,65000,64000
South Korea,KOR,5600,7200,8600,9900,11000,12000,13000,13000,14000,15000,15000,15000
Lao,LAO,2700,3200,3800,4300,5000,5700,6400,7200,8000,8800,9600,10000
Lebanon,LBN,1300,1500,1600,1800,2000,2100,2300,2400,2500,2600,2800,2900
Liberia,LBR,37000,39000,39000,39000,38000,37000,35000,33000,31000,29000,27000,25000
Sri Lanka,LKA,1700,1900,2100,2400,2600,2800,3000,3300,3500,3700,3900,4200
Lesotho,LSO,250000,250000,260000,270000,270000,270000,280000,290000,290000,3.00E+05,310000,320000
Lithuania,LTU,600,600,600,1000,1100,1200,1300,1300,1400,1400,1500,1500
Luxembourg,LUX,600,600,600,600,600,600,600,600,600,600,600,600
Latvia,LVA,4100,4900,5700,6500,7200,7800,8300,8600,8900,9000,9100,9100
Morocco,MAR,10000,12000,13000,15000,17000,19000,21000,23000,25000,27000,29000,32000
Moldova,MDA,11000,11000,11000,11000,12000,12000,12000,12000,13000,13000,14000,15000
Madagascar,MDG,21000,22000,23000,25000,26000,27000,28000,29000,30000,31000,32000,34000
Maldives,MDV,60,60,60,60,60,60,60,60,60,60,60,60
Mexico,MEX,140000,140000,150000,150000,150000,160000,160000,160000,170000,170000,180000,180000
Mali,MLI,110000,110000,110000,110000,110000,110000,110000,1.00E+05,1.00E+05,110000,110000,110000
Malta,MLT,350,350,350,350,350,350,350,350,350,350,350,350
Myanmar,MMR,210000,230000,240000,250000,250000,260000,250000,250000,240000,240000,230000,220000
Mongolia,MNG,60,60,60,60,60,160,160,350,350,350,600,600
Mozambique,MOZ,760000,850000,930000,1.00E+06,1100000,1100000,1200000,1200000,1300000,1300000,1400000,1400000
Mauritania,MRT,9400,10000,11000,12000,12000,13000,15000,16000,18000,20000,22000,24000
Mauritius,MUS,5700,6600,7300,7800,8200,8400,8400,8300,8100,7900,7700,7400
Malawi,MWI,830000,860000,890000,910000,920000,930000,930000,930000,920000,920000,910000,910000
Malaysia,MYS,55000,58000,61000,63000,67000,70000,73000,76000,78000,80000,81000,81000
Namibia,NAM,150000,160000,170000,180000,180000,180000,180000,180000,180000,190000,190000,190000
Niger,NER,42000,45000,47000,49000,51000,53000,55000,57000,59000,61000,63000,65000
Nigeria,NGA,2400000,2500000,2600000,2700000,2800000,2800000,2900000,3.00E+06,3100000,3200000,3300000,3400000
Nicaragua,NIC,2000,2200,2500,2900,3200,3700,4100,4700,5300,6000,6800,7600
Netherlands,NLD,18000,19000,19000,20000,21000,21000,22000,23000,23000,24000,24000,25000
Norway,NOR,3100,3200,3300,3400,3600,3700,3800,4000,4100,4200,4400,4500
Nepal,NPL,34000,43000,51000,57000,61000,63000,63000,62000,59000,56000,53000,49000
New Zealand,NZL,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600
Pakistan,PAK,9200,12000,15000,20000,25000,32000,41000,51000,65000,81000,1.00E+05,130000
Panama,PAN,26000,25000,25000,24000,23000,22000,21000,20000,19000,19000,18000,18000
Peru,PER,80000,79000,77000,75000,73000,71000,70000,69000,69000,70000,71000,74000
Philippines,PHL,2000,2400,3000,3600,4300,5300,6400,7700,9400,11000,14000,19000
Papua New Guinea,PNG,23000,24000,25000,25000,26000,26000,26000,26000,27000,27000,27000,28000
Poland,POL,22000,24000,25000,26000,27000,28000,30000,31000,32000,33000,34000,35000
Portugal,PRT,32000,34000,36000,37000,39000,40000,42000,43000,44000,45000,46000,48000
Paraguay,PRY,4000,4400,4700,5200,5700,6200,6900,7700,8700,9800,11000,13000
Romania,ROU,15000,16000,16000,16000,17000,17000,17000,17000,16000,16000,16000,16000
Rwanda,RWA,230000,220000,220000,210000,210000,2.00E+05,2.00E+05,2.00E+05,2.00E+05,2.00E+05,210000,210000
Sudan,SDN,70000,69000,67000,65000,63000,62000,62000,62000,63000,65000,67000,69000
Senegal,SEN,21000,24000,27000,30000,32000,35000,38000,41000,43000,46000,49000,53000
Singapore,SGP,2600,2700,2700,2700,2700,2800,2900,3000,3200,3300,3400,3400
Sierra Leone,SLE,18000,21000,25000,30000,34000,38000,41000,44000,45000,47000,48000,49000
El Salvador,SLV,11000,12000,12000,13000,14000,15000,16000,18000,19000,21000,22000,24000
Somalia,SOM,34000,34000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
Serbia,SRB,3200,3100,3000,2900,2900,2900,3000,3100,3200,3400,3500,3500
South Sudan,SSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000
Sao Tome and Principe,STP,600,600,600,600,1000,1000,1000,1000,1000,1000,1000,600
Suriname,SUR,8400,7900,7400,6800,6300,5800,5300,4800,4400,4000,3700,3400
Slovak Republic,SVK,160,160,160,160,350,350,350,350,350,350,350,350
Slovenia,SVN,350,350,350,350,350,350,350,350,350,600,600,600
Sweden,SWE,6700,6900,7200,7400,7600,7800,8000,8200,8400,8600,8900,9100
Eswatini,SWZ,110000,120000,130000,140000,150000,160000,160000,170000,170000,180000,180000,190000
Chad,TCD,170000,170000,180000,180000,190000,190000,190000,2.00E+05,2.00E+05,2.00E+05,210000,210000
Togo,TGO,120000,120000,130000,140000,140000,140000,150000,150000,150000,150000,150000,150000
Thailand,THA,650000,630000,610000,590000,570000,560000,550000,540000,530000,520000,510000,490000
Tajikistan,TJK,4800,5400,6000,6500,7000,7400,7800,8200,8700,9200,9800,11000
Trinidad and Tobago,TTO,11000,11000,11000,12000,12000,12000,13000,13000,13000,13000,13000,13000
Tunisia,TUN,600,600,600,600,600,600,1000,1100,1300,1400,1500,1700
Turkey,TUR,1500,1800,2100,2400,2700,3100,3400,3800,4200,4600,5000,5500
Tanzania,TZA,1500000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1500000,1500000,1600000
Uganda,UGA,1.00E+06,990000,980000,990000,1.00E+06,1.00E+06,1100000,1100000,1200000,1300000,1300000,1400000
Ukraine,UKR,230000,250000,260000,280000,290000,3.00E+05,310000,320000,3.00E+05,280000,250000,230000
Uruguay,URY,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000
United States,USA,980000,1.00E+06,1.00E+06,1100000,1100000,1100000,1200000,1200000,1200000,1300000,1300000,1300000
Venezuela,VEN,54000,58000,61000,65000,69000,74000,78000,82000,86000,91000,95000,99000
Vietnam,VNM,84000,110000,130000,160000,180000,190000,210000,220000,230000,230000,240000,250000
Yemen,YEM,8500,10000,12000,14000,15000,16000,17000,18000,19000,20000,21000,22000
South Africa,ZAF,4.00E+06,4400000,4700000,4900000,5.00E+06,5200000,5200000,5300000,5400000,5400000,5500000,5600000
Zambia,ZMB,840000,860000,880000,9.00E+05,910000,920000,920000,930000,940000,950000,960000,970000
Zimbabwe,ZWE,1900000,1800000,1700000,1700000,1600000,1500000,1400000,1300000,1300000,1200000,1200000,1200000
