country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Eritrea,ERI,2600,2400,2300,2200,2100,1900,1600,1500,1400,1300,NA,1200
Spain,ESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400
Estonia,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
Ethiopia,ETH,140000,130000,110000,85000,70000,60000,50000,42000,36000,32000,28000,24000
Finland,FIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Fiji,FJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
France,FRA,5900,5300,5300,5300,5300,5300,5300,5300,5300,5900,6000,6100
Gabon,GAB,5000,4900,4800,4500,4300,4000,3700,3500,3500,3400,3200,3000
United Kingdom,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500
Georgia,GEO,350,350,350,350,350,350,350,750,750,750,750,750
Ghana,GHA,28000,28000,27000,26000,23000,21000,20000,18000,17000,15000,14000,13000
Guinea,GIN,7700,7700,7700,7700,7700,7500,7000,6400,6400,6200,NA,5800
Gambia,GMB,1100,1200,1400,1500,1600,1600,1600,1500,1500,1400,1400,1300
Guinea-Bissau,GNB,1700,1800,1900,2100,2200,2300,2500,2600,2700,2700,2800,2900
Equatorial Guinea,GNQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300
Greece,GRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Guatemala,GTM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9400
Guyana,GUY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Honduras,HND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600
Croatia,HRV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Haiti,HTI,12000,12000,12000,11000,11000,11000,9900,8600,7900,7200,6900,6400
Hungary,HUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Indonesia,IDN,2800,5600,15000,32000,46000,46000,43000,44000,46000,49000,52000,55000
India,IND,290000,260000,230000,210000,2.00E+05,180000,170000,160000,150000,140000,NA,NA
Ireland,IRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Iran,IRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000
Iceland,ISL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Israel,ISR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Italy,ITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2900
Jamaica,JAM,3300,2900,2800,3000,3000,2500,2400,2400,2200,2100,2100,2000
Japan,JPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Kazakhstan,KAZ,1500,1600,1400,1500,1700,1800,2000,2200,2300,2400,2500,2700
Kenya,KEN,140000,140000,130000,130000,130000,120000,120000,130000,120000,120000,110000,1.00E+05
Kyrgyz Republic,KGZ,160,350,350,350,750,750,750,1300,1600,2000,2500,3000
Cambodia,KHM,7100,6200,5400,4600,3800,3200,2500,2100,1900,1400,1300,1100
South Korea,KOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
Lao,LAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200
Lebanon,LBN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Liberia,LBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
Sri Lanka,LKA,350,350,350,350,350,350,350,350,350,350,750,750
Lesotho,LSO,27000,26000,26000,27000,28000,29000,29000,29000,29000,28000,27000,26000
Lithuania,LTU,120,120,120,120,120,120,120,120,120,60,NA,160
Luxembourg,LUX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Latvia,LVA,600,600,1000,1100,1000,600,600,600,600,600,NA,750
Morocco,MAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100
Moldova,MDA,1100,1100,1200,1300,1400,1500,1600,1600,1700,1700,1800,1900
Maldives,MDV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Mexico,MEX,13000,12000,12000,12000,12000,12000,11000,11000,12000,11000,10000,9900
Mali,MLI,13000,12000,12000,12000,12000,11000,11000,10000,9800,9500,9200,8600
Malta,MLT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Myanmar,MMR,31000,28000,26000,24000,21000,18000,16000,14000,12000,11000,9700,8800
Mongolia,MNG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Mozambique,MOZ,140000,150000,160000,150000,150000,150000,140000,140000,130000,130000,NA,NA
Mauritania,MRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100
Mauritius,MUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Malawi,MWI,1.00E+05,1.00E+05,1.00E+05,1.00E+05,96000,90000,82000,73000,63000,58000,51000,46000
Malaysia,MYS,7700,8100,8400,9200,9600,9600,9800,10000,10000,10000,NA,NA
Namibia,NAM,24000,23000,20000,17000,15000,14000,12000,11000,11000,10000,10000,8800
Niger,NER,6100,6200,6200,6200,6400,6600,6700,6700,6800,6800,6400,6400
Nigeria,NGA,330000,310000,3.00E+05,290000,290000,3.00E+05,320000,330000,340000,360000,380000,340000
Nicaragua,NIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200
Netherlands,NLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
Norway,NOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Nepal,NPL,9600,10000,10000,9000,7600,6100,4700,3600,2700,2000,1700,1400
New Zealand,NZL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Pakistan,PAK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32000
Panama,PAN,1200,1200,1200,1100,1100,1100,1100,1100,1000,1200,NA,750
Peru,PER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5800
Philippines,PHL,350,750,750,750,750,1200,1400,1700,2000,2500,3500,5500
Papua New Guinea,PNG,3000,2900,2700,2700,2600,2600,2500,2300,2100,2000,1800,1700
Poland,POL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400
Portugal,PRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400
Paraguay,PRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800
Romania,ROU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Rwanda,RWA,21000,19000,18000,18000,18000,17000,14000,14000,14000,13000,12000,10000
Sudan,SDN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8600
Senegal,SEN,5100,5500,5800,6100,6000,6100,6200,6300,6500,6000,NA,5800
Singapore,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Sierra Leone,SLE,4000,4500,5000,5500,5800,6000,5900,5400,4500,4300,4200,3900
El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400
Somalia,SOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600
Serbia,SRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
South Sudan,SSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000
Sao Tome and Principe,STP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Suriname,SUR,350,350,350,350,350,160,160,160,60,60,60,60
Slovak Republic,SVK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Slovenia,SVN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Sweden,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Eswatini,SWZ,19000,19000,19000,19000,18000,18000,17000,16000,16000,15000,14000,13000
Togo,TGO,12000,12000,11000,11000,11000,11000,11000,11000,11000,10000,NA,NA
Thailand,THA,14000,20000,32000,38000,36000,30000,24000,19000,15000,13000,11000,9700
Tajikistan,TJK,1000,1000,1000,1000,1000,1100,1100,1100,1200,1300,1400,1500
Trinidad and Tobago,TTO,1300,1200,1100,1100,1100,1000,750,750,750,750,750,750
Tunisia,TUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Turkey,TUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Tanzania,TZA,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,150000
Uganda,UGA,94000,99000,1.00E+05,110000,120000,120000,130000,140000,150000,150000,150000,150000
Ukraine,UKR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500
Uruguay,URY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000
United States,USA,52000,48000,48000,49000,49000,49000,49000,49000,49000,49000,49000,49000
Venezuela,VEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7300
Vietnam,VNM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21000
Yemen,YEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600
South Africa,ZAF,660000,610000,560000,520000,5.00E+05,480000,470000,460000,450000,430000,390000,380000
Zambia,ZMB,90000,92000,94000,96000,96000,93000,88000,81000,72000,76000,NA,NA
Zimbabwe,ZWE,160000,140000,130000,110000,110000,110000,1.00E+05,1.00E+05,1.00E+05,95000,87000,74000
