job_title,salary_estimate,midpoint_salary_estimate,job_description,company_name,location,size,type_of_ownership,industry
Operations/Quality Data Analyst,$34K-$61K (Glassdoor est.),47500,"Operations/Quality Data Analyst:
Leading the organization, development, and maintenance of critical operations databases and monitoring reports
Experience in database architecture, relationship structure modeling and ER diagram management.
Develop continuous monitoring processes of mission critical data
Comfortable streamlining current monitoring processes, recommending new monitoring processes, identifying and eliminating outdated and/or redundant reports
Automating routine daily monitoring and reporting.
Provide operations and quality department management data insights
Comfortable with finding hidden value within data and bringing to the team
Proficient in database languages:
SQL required (Postgres ++)
MongoDB strongly preferred
Python strongly preferred
Looker/LookML preferred
Build-from-scratch monitoring processes for existing and future technology initiatives
Experience in a fast paced production/logistics environment preferred
Experience working with financial data preferred
Experience working with projection and forecast modeling preferred
Preferred Candidate will have:
Positive attitude, ability to communicate, strong teamwork and ability to work onsite in production facility
Initiative; someone who is not afraid to suggest improvements, make mistakes
Strong analytical skills; both quantitative and qualitative
Job Type: Full-time
Pay: $55,000.00 per year
Benefits:
Health Insurance
Paid Time Off
Experience:
system administration: 3 years (Preferred)
Color Management: 3 years (Preferred)
Education:
Associate (Preferred)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No","Little Raymond's Print Shop
4.0","Lawrence, IN",51 to 200 employees,Franchise,"Department, Clothing, & Shoe Stores"
Marketing Coordinator / Data Analyst,$26K-$47K (Glassdoor est.),36500,"We are looking for a Marketing Coordinator / Data Analyst that will help our marketing team thrive. This role will have the opportunity to work on a variety of marketing events, campaigns, and projects that drive the company forward. This role requires a strong problem solver and faster learner with an understanding of marketing best practices and an ability to quickly learn CRM systems. This is a small company so you will have the opportunity to wear many hats depending on your talents and abilities. Success in this role will be measured by your ability to contribute to a variety of marketing initiatives and ability to maintain our data for our Hubspot campaigns and Salesforce reports. If you want to help change an industry, join our team.
Marketing Coordinator
Create and execute email, SEO, and social campaigns
Acquire leads to that enable initial sales appointments
Coordinate marketing events and trade show
Ensure all artifacts and details are prepared to maximize marketing event investments
Assist in implementing new Hubspot sequences based on processes and workflows
Support sales demonstrations of the company’s product including appearing on video chat to prospective clients
Help craft marketing messages and deliverables to effectively communicate our message
Data Analysis & Reporting
Own the day to day operation, performance, and optimization of the company's Salesforce & Hubspot environments including the integration between the two systems
Manage all daily administrative functions including user management, workflows, reports, dashboards and custom configurations
Understand, track, and occasionally integrate data from a variety of inbound and outbound lead sources (i.e. tradeshows, website, partners, digital advertising, etc)
Maintain data hygiene and adherence to best practice
Proactively look for ways to track and optimize Sales and Marketing funnel reporting and analysis
Support other GP portfolio products and brands
Leverage your skillset and capabilities to execute on marketing efforts related to other Gene Pranger portfolio businesses
Job Type: Full-time
Pay: $50,000.00 - $55,000.00 per year
Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Referral Program
Retirement Plan
Schedule:
Monday to Friday
COVID-19 considerations:
During this Covid-19 pandemic, we are working from home 3 days a week. On the days we work in the office, we are all required to wear masks in public areas and have numerous sanitation stations throughout the building.
Experience:
Adobe Photoshop or related tools: 1 year (Preferred)
Salesforce and/or Hubspot: 1 year (Preferred)
CRM or data analysis: 1 year (Preferred)
marketing: 1 year (Preferred)
Education:
Bachelor's (Required)
Company's website:
POPin
Company's Facebook page:
POPin
Benefit Conditions:
Waiting period may apply
Work Remotely:
Temporarily due to COVID-19",POPi/o Mobile Video Cloud,"Sandy, UT",-1,-1,-1
Sr. Principal Metrics Analyst- Data Scientist,$48K-$96K (Glassdoor est.),72000,"Technology Architecture and Data is the enterprise wide architecture and data services group at BNY Mellon. Their mission is to develop and articulate the holistic target state enterprise architecture and partner with various business lines and shared services to execute on a prioritized roadmap. These efforts ensure the optimal use of existing technology capabilities and the development of new ones to increase business revenue and lower costs while reducing risk, increasing resiliency, and enabling more effective service delivery. The team also formulates and executes on our data strategy to reduce complexity and eliminate redundancies in our data.As an experienced strategic leader that can define and deliver on a vision from its highest abstraction to its finest detail, you will drive value from data science.Providing advanced strategic vision with precision tactical guidance for the optimal insertion and delivery of very large-scale data science capabilities within a conservative, deep-legacy, high stakes context.* Collaborating with and supporting leaders and their teams from multiple areas of expertise to ensure strategies, solutions and metrics align to business and operating results.* Providing leadership across multiple lines of business to meld organizational and functional effectiveness and power.* Work with business stakeholders to develop strategic solutions.Engage and coordinate with Line of Business end-users, customers and senior decision makers to ensure we understand how the end-user understands / thinks about their needs, what they understand about the AI/ML capabilities, how they quantify success, and what they can handle in terms of what our delivery can do for them and the interfaces that the end user is already comfortable and proficient with.* Develop a deep understanding and appreciation for the end-user and decision-maker's current resources, User Interfaces, User Experience, pain points and aspirations.* Find key insertion points for new capabilities in ways that are measurably helpful and advantageous in the end-user's terms and language.* Assure our work and solutions drive primarily toward the end-user's objectives and needs such that the results are welcome because they reduce real work, increase real power, and significantly differentiate the client from their competition.* Prepare and cultivate the end-user customer's anticipation and readiness for probabilistic forecasting capabilities in their context.* Earn, build and maintain credible end-user enthusiasm that motivates their desire to learn, understand, master the new tools and share their success widely.Sr. Principal Metrics Analyst->> Provides advanced guidance and technical leadership across multiple areas for CTS organizational and functional effectiveness measurements. Participates in the creation of real-time monitoring and analysis of key performance indicators, developing standard reporting models with visualizations to aid decision making and overall strategy. Establishes strong relationships with internal teams to gain an understanding of their strategies, objectives, and tactics to develop a comprehensive measurement plan. Leads the extraction of business insights to guide direction of learning activities and drive organizational efficiencies, effectiveness and outcomes. Is an expert on the company's total computing environment and planned changes in order to develop meaningful measurements. Stays abreast of technology innovations and trends and identifies areas of improvement. Works with business stakeholders to develop strategic solutions. Collaborates with and supports leaders and their teams from multiple areas of expertise to ensure strategies and measurements are aligned and support business and operating results. Contributes to the achievement of Metrics and Analytics objectives.QualificationsBachelor's degree in a related discipline or equivalent work experience required, advanced degree is beneficial 12+ years of related experience required, experience in the securities or financial services industry is a plus.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.Our ambition is to build the best global team - one that is representative and inclusive of the diverse talent, clients and communities we work with and serve - and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.Primary Location: United States-New York-New YorkInternal Jobcode: 45210Job: Information TechnologyOrganization: Architecture And Data-HR16450Requisition Number: 2003813","The Bank of New York Mellon
3.2","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management
JPSC-6986 - Data Governance Analyst,$45K-$78K (Glassdoor est.),61500,"Overview

Position : Data Governance Analyst

Location : Scottsdale, AZ

Duration : 18 Months

Top Three Skills:

1. Driving Data Governance for the program

2. Data Validation and Business Rules

3. Analysis/Data Quality

Job Description:

A data governance analyst performs a variety of tasks related to governance policies, process and standards. A data governance analyst will be responsible for data definitions, root cause analysis of data issues, reference data management, and mitigation of downstream impacts associated with a project/program. A data governance analyst will approve data exceptions and data quality metrics.

Required Experience/Skills

1. Experience with Insurance or Financial Services preferred

2. Working with business decision making models

3. Data centric with a passion toward data including, data quality issue resolution, defining business definitions, enforcement of data governance policies, process, and standards, and experience working with multiple partners to ensure data quality

4. Data Governance – Acted as a data governance professional, data steward, data custodian, or other data role

5. Data Analysis – Experience as data analyst in one of the following situations:

a. Analytically Intensive – Intended to confirm the common understanding of the data.

b. Operationally Data Intensive – Intended to approve authoritative data sources that are essential to core transactional processing

c. Data Integration Intensive – Intended to confirm the common understanding data being integrated and mitigate downstream impacts

1. Taxonomy – Term definitions, hierarchy and metadata

2. Communication – Facilitator, influencing, negotiation and building partnerships between teams or business units.

3. Experience with different applications to effectively present the findings whether it is through use of charts, graphs or specialized tools.

4. 5+ years in data governance analysis with experience listed above. Above plus demonstrated leadership, communication and influencing skills relative to program and organizational level efforts.","Avani Technology Solutions
4.5","Scottsdale, AZ",501 to 1000 employees,Company - Private,IT Services
"Data Analyst, Military Forecasting",$50K-$86K (Glassdoor est.),68000,"We are pioneers. We were the first to break the sound barrier and design the first functional jetpack. We were aboard NASA’s first lunar mission and brought advanced tiltrotor systems to market. Today, we are defining the future of on-demand mobility. At Bell, we are proud to be an iconic company with superb talent, rapidly creating novel and coveted vertical lift experiences.
Bell has an opening for a Military Forecasting / Data Analyst in the Fort Worth, TX headquarters location. In this role, you will focus on strategic planning for Bell Flight's Military Programs Supply Support and contributes to revenue through business case-based planning and forecasting of spares and repair services that meet government and contract requirements. You will conduct the demand planning and strategic forecast modeling development related to Bell Flight's Performance Based Logistics contract.
Position Responsibilities:

Support a strategic modeling capability for the program to afford improved business decisions.
Assist in the development of strategic plans to improve product support performance.
Provide support for program supply support personnel; which may include spares forecasting and multi-year planning.
Prepare and present for program reviews as directed.
Maintain a high level of professionalism and responsiveness to internal/external customers, partners, suppliers, and Bell management to achieve high levels of customer satisfaction.
Support and assist in the establishment of performance metrics (internal/external) and measurements that give visibility to supply support cost and schedule objectives.
Support demand forecasting and modeling capabilities for government spares and repair requirements: Key external relationships include NAVSUP, DLA, and NAVAIR. Outcome will drive strategic inventory operations planning within Bell and the U. S. Government, yielding customer satisfaction.
Work with NAVSUP and DLA to ensure demand requirements are translated to RFPs or orders.
Provide analysis of alternatives, data driven simulation and business/readiness-based execution options to enhance logistic decision making and support increased customer support.

Educational Requirements:
Bachelor's Degree OR at least 4 years of experience in Industrial Distribution, Industrial Engineering, Mathematics, Statistics or Supply Chain Management could be considered equivalent to a Bachelor’s degree.
Position Requirements:

At least 3 years of related experience in forecasting and modeling tools with good analytical skills.
Position requires a proficiency in decision-making and problem solving.
Individual must be proficient with Microsoft Office Suite to include Access, Power Point, Visio, Project, and other database software.
Process mapping, standardization skills, data collection & analysis, and strong mathematic skills
Excellent communication skills, both verbal and written, are required.
Preferred Skills and Experience:
Proficiency in use of database management systems
Six Sigma Green Belt certification
Experience with SLIC, Tempo/Opus, Windchill, @Risk, or similar software a big plus.
Don’t miss the chance to join a diverse, inclusive environment where you feel a sense of belonging. As a member of our global workforce, you will collaborate with dedicated, enthusiastic teams where unique experiences, backgrounds and ideas combined with a strong passion for our products take us above and beyond flight.","Bell Helicopter
3.9","Fort Worth, TX",5001 to 10000 employees,Subsidiary or Business Segment,Aerospace & Defense
"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),66500,"Job Summary:Comprised of Disney's international media businesses and the Company's various streaming services, the Direct-to-Consumer and International (DTCI) segment aligns technology, content and distribution platforms to expand the Company's global footprint and deliver world-class, personalized entertainment experiences to consumers around the world.The Walt Disney Company's Direct-to-Consumer and International segment (DTCI) is a global, multiplatform media, technology and distribution organization for high-quality content created by Disney's Studio Entertainment and Media Networks groups.DTCI includes Disney's international media operations and the Company's direct-to-consumer businesses globally, including the upcoming Disney-branded direct-to-consumer streaming service, the Company's ownership stake in Hulu, and the ESPN+ sports streaming service, programmed in partnership with ESPN. BAMTECH Media, developer of the ESPN+ and Disney-branded streaming platforms, oversees all consumer-facing digital technology and products across the Company as part of the Direct-to-Consumer and International segment.Regional teams in Disney Streaming partner with local content, marketing, business, and data partners to inform decision-making at scale. As Principal Data Analyst for DSS LATAM Analytics, you will be the direct partner to the regional LATAM Disney+ team, working hand-in-hand to: ensure widespread communication of insights, reports, and tools; highlight best practices; identify and anticipate opportunities for data-driven decision-making; and lead project teams to achieve critical objectives by driving close collaboration between organizations.Responsibilities:* Partnership: Be the connection between the Disney Streaming data teams and the LATAM data team, influencing and coordinating between teams to facilitate communication and consistently deliver high quality results.* Project Management: Plan, track, and socialize complex cross-functional projects across teams (technical and non-technical) and leaders within DSS and LATAM.* Reporting & Automation at Scale: Partner closely with DSS data teams & the LATAM D+ Data team to understand existing reporting capability and modify/build as needed to address self-service and push-reporting needs at scale.* Ideate & Innovate: Identify, anticipate, and execute on opportunities to deliver impact by knowing the right approach: adapting existing tools and algorithms in novel ways, or building capability from scratch. Keep abreast of emerging technologies and ensure that analytical approaches are designed to incorporate new platforms and trends.* Hands-on Analysis: Conduct complex targeted ad hoc descriptive and statistical analysis to inform regional decision-making to address critical and strategic issues.* Leadership: Mentor junior and senior members of the team to improve their skills and knowledge. Serve as the subject matter expert in relevant technical areas.Basic Qualifications:* Fluency in English and Spanish is required.* 6+ years of analytical experience, including expert hands-on experience with SQL, project and technical leadership.* Expertise with Python/R or other statistical programming language a plus* Expertise in data exploration and data visualization tools like Tableau or Looker* Excellence in communicating technical results to non-technical audiences. Experience in presenting to executive audiences is strongly preferred.* Ability to think strategically, and analyze and interpret market and consumer information* Strong interpersonal and relationship management skills particularly with technical or engineering functions* Excellent judgement in selecting methods and/or techniques to resolve issues and challenges.Preferred Qualifications:* Experience with streaming services is a plus!Preferred Education* Advanced degree (PhD or MS) in an analytical field or equivalent experience preferred.About Disney Streaming Services:Disney Streaming Services is responsible for developing and operating The Walt Disney Company's direct-to-consumer video businesses globally, including the ESPN+ premium sports streaming service; Disney+, the dedicated streaming home for entertainment from Disney, Pixar, Marvel, Star Wars, National Geographic and BAMTECH Media, a global leader in direct-to-consumer video streaming products and solutions. Our core mission is to deliver global audiences the freedom to access content on their terms across any connected device, time or location. We serve consumers by bringing the world's most beloved characters, timeless stories, legendary athletes, and epic sporting events to global audiences through best-in-class direct-to-consumer video services. We strive daily to imaginatively challenge convention with innovative technology that gives consumers the freedom to access content on their terms across any connected device, time or location.About The Walt Disney Company:The Walt Disney Company, together with its subsidiaries and affiliates, is a leading diversified international family entertainment and media enterprise with the following business segments: media networks, parks and resorts, studio entertainment, consumer products and interactive media. From humble beginnings as a cartoon studio in the 1920s to its preeminent name in the entertainment industry today, Disney proudly continues its legacy of creating world-class stories and experiences for every member of the family. Disney's stories, characters and experiences reach consumers and guests from every corner of the globe. With operations in more than 40 countries, our employees and cast members work together to create entertainment experiences that are both universally and locally cherished.This position is with Disney Streaming Services LLC, which is part of a business segment we call Disney Streaming Services.Disney Streaming Services LLC is an equal opportunity employer. Applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Disney fosters a business culture where ideas and decisions from all people help us grow, innovate, create the best stories and be relevant in a rapidly changing world.Apply Now Apply LaterExplore Location","Walt Disney Co.
4.0","New York, NY",10000+ employees,Company - Public,Motion Picture Production & Distribution
Jr Management Analyst (Data Management),$43K-$69K (Glassdoor est.),56000,"Salary: Commensurate with experienceGStek is seeking qualified applicants for a full-time Junior Management Analyst opening to provide Data Management Support at our Yorktown, VA location.

Job Description:

• Serves as a junior level Management Analyst assisting with planning and identifying IT service operational requirements. Provides technical knowledge to monitor and review Navy Marine Corps Intranet (NMCI) Next Generation (NGEN) compliance with Service Level Agreement (SLA) performance requirements.
• Works closely with subordinate command ACTRs to manage the access and work required under the NMCI/NGEN contract, as well as helping define the technical requirements as they relate to NMCLANT business.
• Assists on matters of DOD, Navy, USFF, NMCLANT instructions and policies with regard to NMCI/NGEN. Assists in coordinating the management, development, implementation, and use of automated information systems.

Job Requirements:

Required:

• Ability to manage time, make sound decisions, take independent action, analyze problems and provide focused solutions. Professional demeanor, good people skills, ability to communicate effectively, and perform in a multi-tasked and dynamic environment.
• Knowledge of NMCI/NGEN processes and procedures specifically for NIPR and SIPR services.
• Knowledge of IT concepts and terminology as related to the management of the organizations IT resources, and the formulation and dissemination of IT policies and plans needed to support the mission of the organization.
• Knowledge of a wide range of computer applications, services, techniques, requirements, methods, and procedures including familiarity with approaches used by other government agencies and/or the private sector to accomplish a variety of projects and task in the assigned specialty areas.
• Knowledge of the Navy Marine Corps Intranet contract and other NMCI-related systems, such as NET, eMarketplace, etc. to include the following:
Look up
Certify pre-invoices
Create orders and build-outs in NET and submit.
Validate rollovers and lookup records in NET.
eMarketplace (eMp) functions
• Knowledge of the capabilities and limitations of various equipment configurations, system software, and utility programs to carry out NMCLANT information technology projects and coordinate efforts with subordinate activities.
• The ability to work closely with NMCI Service Field Service Technicians.
• Active Security Clearance

Clearance:

Selected applicants will be subject to a government security investigation and must meet eligibility requirements for access to classified information. Hire dates are dependent upon the issuance of an interim or final government security clearance.

Background Check:

Offers are contingent upon successful completion of professional reference checks, employment history verification, and background screening.

GStek, Inc. is proud to be an Affirmative Action/Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or any other characteristic protected by law.

GStek encourages veterans, disabled veterans, and disabled individuals to apply for any open position for which they feel they are qualified.

EOE Minority/Female/Veteran/Disabled","GStek, Inc.
3.2","Yorktown, VA",201 to 500 employees,Company - Private,Aerospace & Defense
Data Analyst,$28K-$52K (Glassdoor est.),40000,"Data Analyst

Required Skills:
Must have 1-3 years of experience in a professional data analysis
Knowledge of Microsoft Office and components, including Access
Experience creating schedules in Excel is required
Experience with relational databases, SQL, Crystal Reports.
Some familiarity with IT groups will be required
Analyze data using appropriate control and run charts
Must be strong with Math numerator and denominator
Must be comfortable in a fast-paced environment
Must be polished and able to present to Executives if needed
Must be driven and eager to learn
Must have a great attitude
Excellent written and verbal communication skills are ABSOLUTELY required
Must be accountable, this group is the top of their department and they must be able to trust you


Desired Skills:
Degree in HIM
Healthcare Data Analysis
Description of Role/Responsibilities:
We are looking for a Data Analyst to join an expanding team at one of the most well respected Health Care organizations in Columbus. Our client is seeking a Data Analyst in their Quality Improvement Services department. This position is responsible for reviewing and analyzing data that supports assigned projects in Quality Improvement Services; will maintain databases and sources of information for quality initiatives, accreditation efforts, regulatory mandates, contractual requirement and ad hoc requests; position coordinates data from various sources.
Find Us on Facebook!
Follow Us on Twitter!

Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.

Company Profile:

Beacon Hill Technologies, a premier National Information Technology Staffing Group, provides world class technology talent across all industries on a contract, direct (permanent), contract-to-direct and project basis. Beacon Hill Technologies' dedicated team of recruiting and staffing experts consistently delivers quality IT professionals to solve our customers' technical and business needs.

Beacon Hill Technologies covers a broad spectrum of IT positions, including Project Management and Business Analysis, Programming/Development, Database, Infrastructure, Quality Assurance, Production/Support and ERP roles.

Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Pharma and Beacon Hill Technologies by visiting www.beaconhillstaffing.com.

We look forward to working with you.

Beacon Hill. Employing the Future","Beacon Hill Staffing Group
4.5","Columbus, OH",501 to 1000 employees,Company - Private,Staffing & Outsourcing
Financial Data Analyst,$44K-$82K (Glassdoor est.),63000,"CarOffer is rapidly growing their Accounting/Finance team and seeking a Financial Data Analyst to support the growth. The Financial Data Analyst will prepare financial reports that serve as summary information for managers and is responsible for identifying relevant insights and compiling analytical reports that support business decisions. This position is responsible for collecting information from all areas of the company. Other responsibilities may include improving current methods used in the collection of data from other parts of the company while retaining the essential integrity and security of the information collected. The reports prepared may also delve into the realm of non-financial reporting, depending on the needs of the hiring company. Overall, the role is to encourage the transfer of relevant knowledge to the parties that require it the most.

Responsibilities:

Compiling, interpreting and reporting on information on company financials (and others as needed).
Analyze past results, perform variance analysis, identify trends, and make recommendations for improvements
Work closely with the accounting team to ensure accurate financial reporting
Evaluate financial performance by comparing and analyzing actual results with plans and forecasts


Skills/Requirements:

Minimum education requirement: Associates degree
Business finance or other relevant experience preferred
High proficiency in financial modeling techniques
Strong fluency with Excel formulas and functions
Strong analytical and data gathering skills
Good business acumen
Ability to communicate ideas both verbally and in writing to Leadership team","CarOffer
2.6","Plano, TX",51 to 200 employees,Company - Private,Consumer Product Rental
Sr Data Analyst,$50K-$86K (Glassdoor est.),68000,"The Senior Data Analyst is leads the production of data collection, research, analysis and presentation of findings that affect portfolio performance. This role will oversee the maintenance and compliance of various analyses. This position will conduct studies and produce reports utilizing complex data tools to mitigate risks and identify opportunities. The Sr. Data Analyst will work alongside various business units including IT to create streamlined data and decision-support solutions. This role will be required to assist in modeling efforts. This position will interact with other departments as the subject matter expert with an in depth knowledge of quantitative methods and diligent knowledge of data sources and tools in the interest of achieving the overall company objectives.

JOB DUTIES
Uses appropriate programming languages (Python, SAS, R) to develop business and operational reporting and data visualizations that enable effective and efficient decision-making
Builds technical knowledge to support research and analytic responsibilities through independent learning
Maintains thorough understanding of relevant data sources and metrics
Analyzes key metrics and performing data analysis
Leads work with IT and key business units to identify opportunities and inconsistencies in data and develops long term solutions for data capture and maintenance and serves as a subject matter expert
Extracts meaningful insights and trends and makes recommendations for various analyses to senior leadership which will improve business performance
Partners with and provides recommendations to business leadership on the appropriate application of analytics to business strategies and effectively communicates analysis and implications to senior leadership
Serves as a technical and analytical mentor to less experienced analysts
Ensures that the delivered products meet the business needs of the company
Perform other duties as assigned
Conform with all company policies and procedures

Knowledge
Ability to wrangle large datasets, structured and non-structured data, including data mining and manipulation
Demonstrated understanding and experience with technical systems, datasets, data warehouses, data analysis techniques and data visualization
Knowledge of consumer auto lending / leasing portfolio preferred
Ability to design and implement process documentation and monitoring protocols, demonstrated understanding and experience with technical systems, relational and dimensional datasets, data warehouses, and data analysis techniques
Strong quantitative, analytical and data interpretation skills
Ability to summarize complex data into digestible information for management
Skills
MS Office required
Advanced skills in programming languages such as Python, SAS, R or similar required
Experience in data visualization best practices and tools such as Power BI, Tableau, SAS Visual Analytics etc required
Possess honed research skills
Strong written and verbal presentation skills with an ability to communicate effectively with Senior Management by making complex concepts easy to understand
Ability to be curious, ask questions, explore, and be creative when analyzing data and business problems
Demonstrated quantitative skills
Acute attention to detail
Ability to interact collaboratively with internal customers and external vendors
Capable of supporting multiple projects, including the ability to coordinate and balance numerous tasks in a time-sensitive environment, under pressure and meeting deadlines
Education
Bachelor’s Degree in Economics, Mathematics, Business Analytics, Computer Science, Statistics or other quantitative field required
Master’s Degree in Economics, Mathematics, Business Analytics, Computer Science, Statistics or other quantitative field preferred
Experience
4 - 6 years of data mining and query tool experience required
4 - 6 years in similar role required
4 - 6 years in auto finance preferred
Working Conditions
Normal office environment
#LI-KR1","GM Financial
2.9","Fort Worth, TX",5001 to 10000 employees,Company - Public,Lending
Live Operations Data Analyst,$42K-$76K (Glassdoor est.),59000,"Job Overview


Wargaming North America is looking for Live Operations Data Analyst to join our Live Operations team. In this role, you will be the go-to person for data and analytics in Wargaming North America publishing department.

What you will do?
Provide data and analytic support for WG North America Liveops, Publishing and Marketing departments: Service-Sided Events (SSE), Customer Relationship Management (CRM) and Player Relationship Management Platform (PRMP), Marketing Campaigns.
Use historical data to identify and suggest business growth opportunities.
Build automated Tableau dashboards to track Wargaming NA publishing activities.
Interact with regional Product Groups to build yearly and monthly product forecasts.
Be the key person in NA region for data-related requests.
Collaborate with Wargaming Business Intelligence (WGBI) and regional analysts to scale successful data products globally.
Support marketing campaign analysis in coordination with Liveops and Marketing Analysts.
Drive community and social media analysis for NA Publishing, particularly with YouTube and Twitch.
Conduct ad-hoc research for WG publishing units.
Liaise with HQ and regional data owners to standardize information and reporting.
Contribute to Wargaming BI network to build a common knowledgebase and share best practices.
What are we looking for?
1-3 years of experience in analytics
Knowledge of SQL
Knowledge of Tableau or similar data visualization tool
Knowledge of Excel
Fluency in English
What additional skills will help you stand out?
Experience building ETL process
Business mindset
Excellent soft skills
Knowledge of Wargaming games
About Us


Wargaming is an award-winning online game developer and publisher headquartered in Nicosia, Cyprus. Delivering legendary games since 1998, Wargaming has grown to become one of the leaders in the free-to-play MMO gaming industry with 4500+ employees and more than 20 offices globally. Over 200 million players enjoy Wargaming's titles across all major gaming platforms, including the massively popular World of Tanks and World of Warships.

Working in our company means always having interesting challenges and gaining valuable experience while working with top-class experts.

Take your place among our passionate and experienced team and bring out the best in yourself at Wargaming! .

Please see Wargaming Candidate Privacy Policy for details on how Wargaming uses your personal data.","Wargaming
3.8","Austin, TX",1001 to 5000 employees,Company - Private,Video Games
Data Analyst and Report Writer,$64K-$113K (Glassdoor est.),88500,"Location: Boothwyn, PADescription: Our client is currently seeking a Data Analyst and Report Writer
Permanent OpportunityW2 Only Boothwyn, PA
Objective:
This position is responsible for owning and championing the continued expansion, adoption, and usage of the companys business intelligence and reporting platforms for deeper problem, opportunity, trend, and predictive analysis by the companys internal associates.
Essential Duties & Responsibilities: Manage and maintain existing data analytics platform, process jobs, and reporting inventory. •Provide day to day data analytics and reporting solutions using Microsofts Business Intelligence suite of products (SSIS, SSAS, SSRS, etc). •Represent Technology Services as a subject matter expert for company's data environment by understanding all data layer facets of the companys commercial and custom business applications software portfolio, how it is used by the business, and their interrelationships and dependencies. •Partner with internal business stakeholders and technology colleagues to understand business solution requirements and integrate those requirements into tangible business intelligence solutions. •Develop business intelligence data management methodology, standards, and best practices for managing the platform (data models, extraction, transformation, load, development, test and acceptance, release to production, and documentation). •Responsible for continued life-cycle development of the platform inclusive of but not limited to:
•Functional Requirements •Architecture •Source-to-target Mapping •Extraction, Transformation, & Load •Test, Acceptance, Release to Production •Documentation •Internal Customer Knowledge Transfer •Champion the continued expansion, adoption, and usage of the companys data analytics and reporting platform for two and three dimensional ad-hoc data analysis, ad-hoc reporting, and recurring production reporting. •Adhere to established change management practices and protocols when implementing software solutions into production.
Authority and Accountability: •Provides technical leadership to business intelligence team.
Skills, Competencies and Experience: •5+ years of progressive experience in a same or similar position. •Well-organized and self-starting individual with a passion for transferring hard to access data into easily accessible and meaningful information for improved decision making. •Detailed knowledge of two and multi dimension data modeling. •Working knowledge of ETL. •In-depth experience with Microsofts business intelligence product suite (SSIS, SSAS, SSRS). •The ability to balance competing priorities against optimal benefit to the organization. •An ability to work well and productively, always projecting a positive outlook in a fast-paced, sometimes stressful environment. •Ability to establish and achieve service levels. •Ability to provide solution leadership for the company in business intelligence solutions and become a trusted advisor. •Ability to lead peers and internal clients in solution discussions, mentoring and training as needed. •Proven experience partnering with business unit leaders translating specifications into workable solutions. •Superior Estimating and project management skills. •Ability to work with third party consulting providers. •Experience developing scorecards, dashboards, KPIs and reports. •Knowledgeable in BI, DW and Data Analysis technologies and be able to make informed selections based on their knowledge and experience. •Experience in process / document flow reporting. •An ability to manage and work with a culturally diverse population.
Preferred •Experience working within a healthcare or related industry
Strong working knowledge of: •Two and Multi Dimensional Data Modeling (SQL and Cube). •SQL Statements and Constructs. •Microsoft SQL Server. •Microsoft SQL Server Management Studio (SSMS) •Microsoft SQL Server Integration Services (SSIS) •Microsoft SQL Server Analysis Services (SSAS) •Microsoft SQL Server Reporting Services (SSRS) •Microsoft Report Builder for End User Ad-Hoc Reporting. •Microsoft SharePoint. •Previous experience in the field of health care and a working knowledge of Electronic Medical Record and Reimbursement systems is required.
Education, Certifications, Trainings: Required •Bachelor's degree or equivalent combination of education and experience.

Contact: kdunlevy@judge.com
This job and many more are available through The Judge Group. Find us on the web at www.judge.com

Job Requirements:","The Judge Group
3.5","Boothwyn, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing
