state,county,pop_20,area_sq_miles,hh_inc_21,econ_type,unemp_20,foreign_born_num,pop_change_2010_2020,pct_emp_change_2010_2021
AK,"Skagway, AK",1239.0,433.9329452491672,65712.0,Recreation,21.5,116.0,28.09917355371901,-12.8
AK,"Skagway-Hoonah-Angoon, AK",,,,,,,,
AK,"Southeast Fairbanks, AK",6831.0,24831.059142745064,68347.0,Mining,7.7,504.0,-3.1441172286242707,7.2
AK,"Valdez-Cordova, AK",,,,Recreation,,,,
AK,"Wrangell , AK",2130.0,2555.995247082226,64732.0,Recreation,9.2,101.0,-10.215280709159984,-7.1
AK,"Wrangell-Petersburg, AK",,,,,,,,
AK,"Yakutat , AK",683.0,7623.279976200662,73014.0,Federal/State Government,8.6,65.0,0.0,8.3
AK,"Yukon-Koyukuk, AK",5300.0,145575.5460836112,44934.0,Nonspecialized,12.6,73.0,-4.384395132426628,1.0
AZ,"Apache, AZ",65897.0,11198.309109926378,41002.0,Federal/State Government,12.5,1138.0,-7.686176906513046,-13.5
AZ,"Cochise, AZ",125398.0,6209.750046718364,55748.0,Federal/State Government,6.8,13383.0,-4.491191204909171,-10.0
AZ,"Coconino, AZ",145116.0,18616.354747203462,63829.0,Federal/State Government,9.5,6733.0,7.94518713593858,3.1
AZ,"Gila, AZ",53306.0,4757.329568322324,52665.0,Recreation,7.5,1535.0,-0.6063772226057428,2.2
AZ,"Graham, AZ",38614.0,4621.876995569091,52644.0,Federal/State Government,6.2,807.0,3.527673293927996,18.3
AZ,"Greenlee, AZ",9522.0,1842.1429635967424,71669.0,Mining,5.2,232.0,13.345976057840463,44.6
AZ,"La Paz, AZ",16580.0,4496.564953196695,44330.0,Recreation,7.0,1740.0,-19.19078529942896,15.4
AZ,"Maricopa, AZ",4438342.0,9201.791949229108,76230.0,Nonspecialized,7.2,632838.0,15.809077898319595,26.8
AZ,"Mohave, AZ",214070.0,13332.117670815463,48169.0,Recreation,9.7,13569.0,6.534422986622442,14.1
AZ,"Navajo, AZ",106802.0,9949.490512697355,49057.0,Recreation,9.9,2684.0,-0.6812534318606966,-2.3
AZ,"Pima, AZ",1045599.0,9188.690325978345,60604.0,Nonspecialized,7.5,126417.0,6.444188957453255,5.0
AZ,"Pinal, AZ",429583.0,5366.046928402757,70835.0,Nonspecialized,7.3,38422.0,13.17135481810682,33.2
AZ,"Santa Cruz, AZ",47653.0,1236.2424999652508,49216.0,Federal/State Government,11.2,15495.0,0.5250948966680725,-2.5
AZ,"Yavapai, AZ",237067.0,8122.872485509585,57676.0,Recreation,7.3,15387.0,11.929887742675316,16.5
AZ,"Yuma, AZ",204437.0,5513.838206586285,55991.0,Recreation,16.9,51739.0,4.153235487941314,17.1
AR,"Arkansas, AR",17105.0,992.1405998792272,50928.0,Manufacturing,4.0,167.0,-9.832272990167727,-1.5
AR,"Ashley, AR",18960.0,925.4916814286398,44030.0,Manufacturing,9.4,496.0,-12.77170182583627,-29.6
AR,"Baxter, AR",41655.0,553.9255938637554,45116.0,Nonspecialized,6.0,779.0,0.27461277190277744,3.9
AR,"Benton, AR",286353.0,847.7207917565642,78974.0,Nonspecialized,4.5,33203.0,28.46041592308631,37.7
AR,"Boone, AR",37352.0,589.7229408012702,48700.0,Nonspecialized,5.3,538.0,1.2736091916646344,0.4
AR,"Bradley, AR",10498.0,649.1671065657447,40454.0,Nonspecialized,5.9,799.0,-8.368091762252346,-16.6
AR,"Calhoun, AR",4725.0,628.6005498867177,49977.0,Manufacturing,5.3,76.0,-11.717585692995529,-6.5
AR,"Carroll, AR",28202.0,629.9379537665811,49225.0,Manufacturing,5.7,2353.0,2.9658237994607592,4.9
AR,"Chicot, AR",10143.0,636.9777300126487,34857.0,Farming,10.5,301.0,-13.491525423728815,-25.1
AR,"Clark, AR",21362.0,865.9712597124002,47158.0,Federal/State Government,6.0,408.0,-6.736247010219613,-11.9
AR,"Clay, AR",14508.0,639.2237879094421,41419.0,Farming,6.1,31.0,-9.519368277062737,-22.4
AR,"Cleburne, AR",24665.0,553.9591940194317,50200.0,Recreation,7.6,222.0,-4.847901424720832,-9.8
AR,"Cleveland, AR",7544.0,597.9138034616377,53705.0,Nonspecialized,6.1,21.0,-13.108528023938312,-16.4
AR,"Columbia, AR",22741.0,766.0648921925507,44651.0,Manufacturing,6.9,390.0,-7.131801889866406,-12.2
AR,"Conway, AR",20729.0,551.9170281870032,47741.0,Nonspecialized,6.1,545.0,-2.6230432943167394,-3.6
AR,"Craighead, AR",111576.0,707.1582856754549,52490.0,Nonspecialized,5.3,4133.0,15.33340937133851,21.5
AR,"Crawford, AR",60107.0,595.2686525960738,54065.0,Manufacturing,5.5,2537.0,-2.929876670756118,-4.6
AR,"Crittenden, AR",48067.0,612.8648569028119,43821.0,Nonspecialized,8.4,826.0,-5.380928057836627,-5.3
AR,"Cross, AR",16762.0,616.3176022437169,45262.0,Nonspecialized,6.1,311.0,-5.803021824286514,-15.7
AR,"Dallas, AR",6445.0,667.3229011099666,42442.0,Nonspecialized,5.4,18.0,-20.133070478068014,-16.6
AR,"Desha, AR",11330.0,741.214070876004,39042.0,Nonspecialized,7.1,359.0,-12.400061500615006,-11.3
AR,"Drew, AR",17309.0,828.6622540336094,46572.0,Federal/State Government,6.9,228.0,-6.26181857474742,-8.4
AR,"Faulkner, AR",123666.0,647.2463745005768,57573.0,Nonspecialized,5.5,4483.0,9.061525826364173,7.9
AR,"Franklin, AR",17122.0,608.9629735736228,47834.0,Nonspecialized,5.7,113.0,-5.671724137931034,-3.0
AR,"Fulton, AR",12033.0,618.035885108348,41557.0,Nonspecialized,5.2,178.0,-1.3883217639853003,-1.4
AR,"Garland, AR",100162.0,677.6434477688699,48053.0,Recreation,8.0,3732.0,4.328084645505291,1.0
AR,"Grant, AR",17975.0,631.884626492478,67088.0,Nonspecialized,5.2,355.0,0.5881364476558562,-1.2
AR,"Greene, AR",45818.0,577.3402398003388,53920.0,Manufacturing,6.0,349.0,8.662390116417201,4.8
AR,"Hempstead, AR",19993.0,727.1997194581596,41281.0,Nonspecialized,5.2,1272.0,-11.252156220973948,-9.0
AR,"Hot Spring, AR",33034.0,614.9438981956673,51662.0,Nonspecialized,5.8,279.0,0.355374662090332,1.6
AR,"Howard, AR",12755.0,587.326498423931,42733.0,Manufacturing,5.0,1018.0,-7.281166146928711,-13.3
AR,"Independence, AR",37892.0,763.7115469260862,48957.0,Manufacturing,5.8,1278.0,3.522798591972058,0.9
AR,"Izard, AR",13576.0,580.1773263042145,40788.0,Federal/State Government,8.5,138.0,-0.8688668224299065,-10.5
AR,"Jackson, AR",16737.0,633.6108495483377,37815.0,Federal/State Government,7.2,70.0,-6.901150191698617,-10.2
AR,"Jefferson, AR",66811.0,872.3668325876413,46100.0,Federal/State Government,8.1,1071.0,-13.1400529476335,-20.0
AR,"Johnson, AR",25692.0,660.9955019096614,43003.0,Manufacturing,6.3,2453.0,0.8183241973375098,-7.2
AR,"Lafayette, AR",6294.0,529.4724886756233,38777.0,Nonspecialized,7.7,131.0,-17.48855461085677,-21.3
AR,"Lawrence, AR",16196.0,587.5279565001846,44661.0,Nonspecialized,6.2,95.0,-6.884869365489521,-5.0
AR,"Lee, AR",8529.0,599.8071940873857,29714.0,Farming,7.7,136.0,-17.498081350729088,-29.0
AR,"Lincoln, AR",12879.0,559.4615967332667,45435.0,Federal/State Government,6.0,283.0,-8.440639592472053,-16.6
AR,"Little River, AR",11971.0,531.2546146931954,46619.0,Manufacturing,6.5,27.0,-8.693341431933794,-12.8
AR,"Logan, AR",21097.0,709.1160395337739,45558.0,Nonspecialized,6.7,323.0,-5.466827718874423,-10.6
AR,"Lonoke, AR",74042.0,771.4484904949367,64633.0,Nonspecialized,5.6,1882.0,8.278717303528586,3.0
AR,"Madison, AR",16551.0,834.2277412096117,49691.0,Manufacturing,4.0,435.0,5.115480053445314,5.5
AR,"Marion, AR",16862.0,596.6534775450697,42892.0,Manufacturing,6.5,326.0,1.0388518585239899,-3.7
AR,"Miller, AR",42570.0,624.0404395696041,45450.0,Nonspecialized,6.9,635.0,-1.9833417698219133,-6.9
AR,"Mississippi, AR",40503.0,902.0929571874465,41007.0,Manufacturing,9.1,667.0,-12.467728055077453,-15.6
AR,"Monroe, AR",6765.0,607.468799083239,37113.0,Nonspecialized,6.6,20.0,-16.566449871149835,-20.1
AR,"Montgomery, AR",8459.0,780.4529692801666,41359.0,Recreation,7.0,230.0,-10.572362179825024,-24.0
AR,"Nevada, AR",8284.0,617.7896611876195,40283.0,Manufacturing,5.9,1.0,-7.635878626208736,-10.9
AR,"Newton, AR",7198.0,821.0718686727506,41823.0,Farming,5.1,70.0,-13.26530612244898,-12.8
AR,"Ouachita, AR",22592.0,732.7209442669232,47169.0,Federal/State Government,6.1,189.0,-13.284839203675345,-9.7
AR,"Perry, AR",9997.0,551.3772716321465,51204.0,Nonspecialized,5.6,74.0,-4.078506462422212,-5.7
AR,"Phillips, AR",16445.0,690.3600171120484,32419.0,Nonspecialized,9.2,71.0,-23.8497954681252,-29.7
AR,"Pike, AR",10165.0,600.3350386179395,43710.0,Nonspecialized,5.9,353.0,-9.919404835709859,-10.6
AR,"Poinsett, AR",22893.0,758.2951967345023,42639.0,Nonspecialized,5.6,236.0,-6.581784159785217,-4.7
AR,"Polk, AR",19182.0,856.8382486714224,43166.0,Nonspecialized,6.7,789.0,-6.974155454457458,-11.2
AR,"Pope, AR",63346.0,811.1276094715497,47049.0,Nonspecialized,5.9,3495.0,2.634647148362859,-5.9
AR,"Prairie, AR",8248.0,647.5203352293524,59367.0,Farming,5.4,15.0,-4.968445209409065,-6.0
AR,"Pulaski, AR",399073.0,758.3082168720473,53597.0,Federal/State Government,7.4,20991.0,4.278794402583423,-0.1
AR,"Randolph, AR",18581.0,651.9126690934476,43484.0,Nonspecialized,5.9,655.0,3.3502142578885863,7.6
AR,"St. Francis, AR",23046.0,634.7840148294123,36781.0,Federal/State Government,7.9,832.0,-18.288626229740252,-18.2
AR,"Saline, AR",123681.0,723.5323623121034,68107.0,Nonspecialized,5.1,3615.0,15.214996545865308,12.3
AR,"Scott, AR",9811.0,892.8499591503899,39974.0,Manufacturing,4.5,326.0,-12.436570818125167,-8.1
AR,"Searcy, AR",7827.0,665.8337613919447,35422.0,Nonspecialized,6.5,53.0,-4.478340451494814,-9.5
AR,"Sebastian, AR",127739.0,531.1818552827272,49170.0,Manufacturing,6.0,11222.0,1.634272808245324,-4.7
AR,"Sevier, AR",15778.0,563.5743829701141,46651.0,Manufacturing,5.9,2732.0,-7.146207058271779,-22.4
AR,"Sharp, AR",17282.0,604.624368915995,39183.0,Nonspecialized,7.2,148.0,0.040546802594995365,-6.2
AR,"Stone, AR",12364.0,606.4403750133205,37782.0,Nonspecialized,7.1,105.0,-0.2823947071163466,-15.9
AR,"Union, AR",38925.0,1039.067081777985,47315.0,Mining,8.4,996.0,-6.2081221931362425,-7.9
AR,"Van Buren, AR",15765.0,709.5625427608159,39629.0,Nonspecialized,7.2,155.0,-8.667244868459093,-4.3
AR,"Washington, AR",246662.0,941.4708990929688,64218.0,Nonspecialized,4.7,26222.0,21.07994976977815,26.6
AR,"White, AR",76810.0,1034.0786995924304,51660.0,Nonspecialized,6.3,2064.0,-0.32954486480876016,-3.4
AR,"Woodruff, AR",6200.0,585.9652230048943,37331.0,Nonspecialized,5.8,11.0,-13.650137741046834,-18.6
AR,"Yell, AR",20216.0,930.2106388137705,48526.0,Manufacturing,5.1,2019.0,-8.663511381564119,-16.1
CA,"Alameda, CA",1679844.0,737.4618542634174,108971.0,Nonspecialized,9.0,551151.0,11.394114036487492,9.4
CA,"Alpine, CA",1198.0,738.3403347814739,87570.0,Recreation,11.7,64.0,2.4680851063829787,1.3
CA,"Amador, CA",40541.0,594.5841359110544,68159.0,Federal/State Government,9.5,2507.0,6.256070987897404,0.4
CA,"Butte, CA",210083.0,1636.489704971606,62982.0,Nonspecialized,9.4,16581.0,-3.8036363636363637,-2.7
CA,"Calaveras, CA",45327.0,1020.0191502817773,68298.0,Recreation,7.9,2156.0,-0.6274957216200799,12.5
CA,"Colusa, CA",21853.0,1150.712948090879,60725.0,Farming,16.5,5812.0,1.960875857883188,3.3
CA,"Contra Costa, CA",1165562.0,716.9293865454202,110595.0,Nonspecialized,9.1,289971.0,11.143871690379163,8.8
CA,"Del Norte, CA",27709.0,1006.2278415961773,48108.0,Federal/State Government,9.7,2264.0,-3.0304089479203076,-9.1
CA,"El Dorado, CA",191114.0,1707.8495016193126,87689.0,Recreation,8.5,17659.0,5.593235316859791,7.7
CA,"Fresno, CA",1008966.0,5958.382545401755,63140.0,Nonspecialized,11.7,199858.0,8.404965339351927,10.2
CA,"Glenn, CA",28893.0,1313.9675940583509,56741.0,Farming,9.1,4601.0,2.826968209942394,5.3
CA,"Humboldt, CA",136351.0,3568.1884352359934,53924.0,Nonspecialized,8.6,8335.0,1.36677982217006,-6.6
CA,"Imperial, CA",179489.0,4175.5387523030995,50970.0,Federal/State Government,22.8,53889.0,2.9645672900623397,2.3
CA,"Inyo, CA",19023.0,10197.260779972727,62381.0,Recreation,8.0,1325.0,2.5342391890434595,-11.8
CA,"Kern, CA",909997.0,8134.6455041490535,57926.0,Nonspecialized,12.9,177999.0,8.289832080997487,10.5
CA,"Kings, CA",152627.0,1390.9724380962382,60810.0,Federal/State Government,12.0,29042.0,-0.3242211502006772,1.6
CA,"Lake, CA",68174.0,1256.5512658745909,55801.0,Nonspecialized,9.8,6049.0,5.409417768499188,3.7
CA,"Lassen, CA",32719.0,4541.340491925059,56923.0,Federal/State Government,7.4,1775.0,-6.204327267516836,-17.0
CA,"Los Angeles, CA",9989165.0,4059.2817800700236,77356.0,Nonspecialized,12.3,3353967.0,1.9901401472001368,5.3
CA,"Madera, CA",156620.0,2136.917835912753,60241.0,Nonspecialized,11.2,31171.0,3.5727305869485964,10.2
CA,"Marin, CA",261776.0,520.4231861305921,118472.0,Recreation,6.9,48530.0,3.9269598152205347,0.7
CA,"Mariposa, CA",17124.0,1448.839525511315,60377.0,Recreation,11.2,959.0,-6.1366500465727905,-14.6
CA,"Mendocino, CA",91354.0,3506.8241497644003,57516.0,Recreation,9.2,11291.0,4.2804612880090165,-5.6
CA,"Merced, CA",281726.0,1938.0040108293938,54703.0,Nonspecialized,12.6,72635.0,9.933422728534401,11.0
CA,"Modoc, CA",8658.0,3948.2336311982913,49273.0,Federal/State Government,8.9,627.0,-10.179640718562874,-8.2
CA,"Mono, CA",13206.0,3048.903982952817,70945.0,Recreation,12.2,2235.0,-7.0905506266723,-2.4
CA,"Monterey, CA",438500.0,3281.7229392568615,81404.0,Recreation,11.2,127488.0,5.777037852632289,3.4
CA,"Napa, CA",137608.0,748.2787426042129,94127.0,Recreation,9.0,29822.0,1.1246739544562,2.3
CA,"Nevada, CA",102199.0,957.7601525566914,77220.0,Recreation,8.2,6235.0,3.520513547446438,3.2
CA,"Orange, CA",3184101.0,792.8413116199766,100210.0,Nonspecialized,9.0,937214.0,5.8718729984931395,5.6
CA,"Placer, CA",405741.0,1407.0745594188081,103588.0,Recreation,7.5,46938.0,16.160111585617855,16.9
CA,"Plumas, CA",19769.0,2553.062319979861,58154.0,Recreation,11.1,716.0,-1.0846203828659968,-10.4
CA,"Riverside, CA",2422764.0,7209.269373448835,78690.0,Recreation,10.2,518941.0,10.437510075852616,24.7
CA,"Sacramento, CA",1586241.0,965.2710429546391,79611.0,Federal/State Government,9.5,330486.0,11.718946029991796,11.6
CA,"San Benito, CA",64507.0,1388.6516404709212,95187.0,Nonspecialized,10.0,12650.0,16.17543288280953,25.5
CA,"San Bernardino, CA",2182740.0,20068.011480748173,74218.0,Nonspecialized,9.7,448440.0,7.195522820740857,19.2
CA,"San Diego, CA",3297252.0,4210.233891817259,90756.0,Nonspecialized,9.5,749110.0,6.56867334579734,7.0
CA,"San Francisco, CA",870014.0,46.91415133969733,119776.0,Nonspecialized,8.0,295398.0,8.53539649915863,17.4
CA,"San Joaquin, CA",780517.0,1392.3703515228642,79598.0,Nonspecialized,11.6,179920.0,13.705848190443392,17.7
CA,"San Luis Obispo, CA",282231.0,3300.854224807219,79688.0,Recreation,7.9,27338.0,4.742301687083004,6.9
CA,"San Mateo, CA",762453.0,448.6206252693063,131151.0,Nonspecialized,7.0,267704.0,6.401410812985159,14.5
CA,"Santa Barbara, CA",448096.0,2733.9355985433135,83185.0,Nonspecialized,8.2,100250.0,5.740572547446892,7.4
CA,"Santa Clara, CA",1930598.0,1291.084251741707,141161.0,Manufacturing,7.2,771644.0,8.678342787159261,16.7
CA,"Santa Cruz, CA",270353.0,445.10769316305715,90370.0,Recreation,9.8,48513.0,3.231547895816024,1.3
CA,"Shasta, CA",181893.0,3775.520031753043,60187.0,Nonspecialized,9.0,10118.0,2.7829344949583295,4.1
